Ticker,Name,Sector,Price,Predicted_Return_5D,Score,Weight,Amount,Shares_Approx
HDFCBANK.NS,HDFC Bank,Banking,990.9000244140625,0.0009,0.03400427797803676,0.09492228998270952,94922.28998270952,96.0
ICICIBANK.NS,ICICI Bank,Banking,1342.5,0.0011,0.02217737916592814,0.061907728715911145,61907.728715911144,46.0
TCS.NS,TCS,IT,3188.83056640625,0.0014,0.020697847244144342,0.0577776437245772,57777.6437245772,18.0
INFY.NS,Infosys,IT,1621.5999755859375,0.0142,0.04048596129117511,0.11301578467250119,113015.78467250119,70.0
SUNPHARMA.NS,Sun Pharma,Pharma,1709.0980224609375,-0.0006,0.039891964092762744,0.1113576528823472,111357.6528823472,65.0
DRREDDY.NS,Dr. Reddy's,Pharma,1265.800048828125,0.0022,0.033106936513383825,0.09241737848962293,92417.37848962293,73.0
HINDUNILVR.NS,Hindustan Unilever,FMCG,2290.199951171875,0.0014,0.035724323822323864,0.09972376497713319,99723.76497713319,44.0
ITC.NS,ITC,FMCG,392.376708984375,0.0055,0.029866385326217056,0.0833714419844945,83371.44198449451,212.0
MARUTI.NS,Maruti Suzuki,Auto,16647.0,-0.0066,0.10227772725368753,0.28550631457070325,285506.31457070325,17.0
