Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-01-01,2569.267822265625,2579.577357623474,2526.0555144891096,2526.9329217536074,2681440
2021-01-04,2666.8359375,2676.750684179323,2580.411306707027,2588.351886693109,5113293
2021-01-05,2713.8203125,2732.4652144206675,2666.9668564165904,2666.9668564165904,5801309
2021-01-06,2677.408447265625,2731.807701314607,2664.86147969927,2719.962702449103,3726716
2021-01-07,2661.00048828125,2703.159945329196,2632.4408422674323,2698.0270277384734,3717827
2021-01-08,2738.2998046875,2744.5294809455468,2684.8657965771654,2711.1880102690984,5879039
2021-01-11,2787.039794921875,2834.0249888957114,2760.805407798739,2834.0249888957114,9508039
2021-01-12,2785.636962890625,2816.477747242311,2763.833303368623,2787.040686200782,3611458
2021-01-13,2771.685302734375,2787.522544800205,2742.994131470457,2785.7677304817917,3572801
2021-01-14,2857.615478515625,2871.504937638506,2743.071705797272,2773.4878549669324,6931542
2021-01-15,2842.36376953125,2878.0981645602974,2821.83723525918,2843.814160767429,4131692
2021-01-18,2832.166259765625,2862.9339540596566,2801.969879661121,2857.000184445808,4160906
2021-01-19,2866.4072265625,2882.494383612486,2841.1777517034325,2842.056828978093,2975735
2021-01-20,2908.689697265625,2925.523934097384,2872.0322333632444,2874.581470532571,3453446
2021-01-21,2877.966552734375,2908.9978016243012,2867.6373971573257,2905.349717629565,2778546
2021-01-22,2903.67919921875,2922.9308988404446,2849.879517446125,2849.879517446125,3052459
2021-01-25,2893.306396484375,2935.941634277251,2882.1859428044563,2908.8220208853404,2272887
2021-01-27,2866.713623046875,2906.6236264461163,2836.781013188258,2900.953623650837,2786662
2021-01-28,2810.012939453125,2878.9764702989037,2798.8047104466177,2839.41801498182,3083938
2021-01-29,2735.115966796875,2827.858578666377,2725.138358250766,2821.8808128923442,5445659
2021-02-01,2759.730224609375,2782.2784618413975,2675.9981476771814,2725.138461835176,3985846
2021-02-02,2816.07861328125,2834.143684966106,2769.0919998893405,2790.1898436980214,2881837
2021-02-03,2813.090087890625,2844.6928596468942,2780.2124829296085,2824.4740908669564,2505866
2021-02-04,2802.892822265625,2846.3193518083062,2791.9483573025227,2827.155431621027,2057261
2021-02-05,2776.081298828125,2818.189217864985,2750.632061413705,2812.1234575107587,2366135
2021-02-08,2825.441650390625,2835.902581505412,2773.619886265713,2803.8162689744304,2526592
2021-02-09,2792.7392578125,2853.3077836933403,2781.3992518932832,2808.6506352082934,2658751
2021-02-10,2824.738037109375,2830.1002777917115,2775.509727373465,2799.860116229869,2127983
2021-02-11,2818.32080078125,2830.0125675509667,2799.904180954972,2826.2324936093946,1165882
2021-02-12,2804.958984375,2853.0444542059204,2797.2230637138314,2799.1569902245205,2777404
2021-02-15,2760.170166015625,2820.958258279834,2752.873783564449,2820.958258279834,2630853
2021-02-16,2732.874267578125,2784.6078135757903,2725.138348053523,2769.0921923769665,3435770
2021-02-17,2701.49169921875,2754.0165516150078,2677.2730841859975,2729.6221641004277,3678426
2021-02-18,2687.646484375,2723.292889441269,2664.482716711281,2694.371338409791,4189909
2021-02-19,2700.392822265625,2713.8425289396955,2651.428060692321,2688.2175197249344,3725028
