Date,Close,High,Low,Open,Volume,Ticker
2021-01-01,2569.26806640625,2579.5776027437464,2526.055754523553,2526.933161871425,2681440,TCS.NS
2021-01-04,2666.835693359375,2676.750439131033,2580.4110704783106,2588.351649737457,5113293,TCS.NS
2021-01-05,2713.82080078125,2732.465706056582,2666.9673362677822,2666.9673362677822,5801309,TCS.NS
2021-01-06,2677.408447265625,2731.807701314607,2664.86147969927,2719.962702449103,3726716,TCS.NS
2021-01-07,2661.00048828125,2703.159945329196,2632.4408422674323,2698.0270277384734,3717827,TCS.NS
2021-01-08,2738.30029296875,2744.5299703376445,2684.8662753303042,2711.1884937158957,5879039,TCS.NS
2021-01-11,2787.0400390625,2834.025237152171,2760.80564964127,2834.025237152171,9508039,TCS.NS
2021-01-12,2785.63720703125,2816.4779940859044,2763.8335455983174,2787.0409304644336,3611458,TCS.NS
2021-01-13,2771.685791015625,2787.523035871465,2742.994614697251,2785.7682212439095,3572801,TCS.NS
2021-01-14,2857.615234375,2871.5046923112336,2743.0714714427045,2773.4876180137585,6931542,TCS.NS
2021-01-15,2842.363525390625,2878.0979173503197,2821.836992881651,2843.813916502225,4131692,TCS.NS
2021-01-18,2832.166259765625,2862.9339540596566,2801.969879661121,2857.000184445808,4160906,TCS.NS
2021-01-19,2866.405517578125,2882.4926650367665,2841.1760577611553,2842.0551345117005,2975735,TCS.NS
2021-01-20,2908.689697265625,2925.523934097384,2872.0322333632444,2874.581470532571,3453446,TCS.NS
2021-01-21,2877.9658203125,2908.997061305196,2867.636667364147,2905.3489782388706,2778546,TCS.NS
2021-01-22,2903.678955078125,2922.930653081142,2849.8792778289644,2849.8792778289644,3052459,TCS.NS
2021-01-25,2893.30615234375,2935.9413865390143,2882.1856996021884,2908.8217754354887,2272887,TCS.NS
2021-01-27,2866.7138671875,2906.6238739856344,2836.781254779704,2900.9538707074753,2786662,TCS.NS
2021-01-28,2810.013671875,2878.977220695927,2798.8054399471,2839.418755068044,3083938,TCS.NS
2021-01-29,2735.115966796875,2827.858578666377,2725.138358250766,2821.8808128923442,5445659,TCS.NS
2021-02-01,2759.72998046875,2782.2782157060337,2675.9979109439473,2725.138220754725,3985846,TCS.NS
2021-02-02,2816.078857421875,2834.1439306728867,2769.0922399564497,2790.190085594213,2881837,TCS.NS
2021-02-03,2813.09033203125,2844.69310653024,2780.2127242168735,2824.474335995569,2505866,TCS.NS
2021-02-04,2802.892822265625,2846.3193518083062,2791.9483573025227,2827.155431621027,2057261,TCS.NS
2021-02-05,2776.08154296875,2818.189465708763,2750.6323033162134,2812.123704821088,2366135,TCS.NS
2021-02-08,2825.441650390625,2835.902581505412,2773.619886265713,2803.8162689744304,2526592,TCS.NS
2021-02-09,2792.739501953125,2853.308033128852,2781.399495042567,2808.650880739887,2658751,TCS.NS
2021-02-10,2824.738525390625,2830.100766999873,2775.510207145161,2799.860600210748,2127983,TCS.NS
2021-02-11,2818.3203125,2830.012077244088,2799.9036958644483,2826.2320039574233,1165882,TCS.NS
2021-02-12,2804.958984375,2853.0444542059204,2797.2230637138314,2799.1569902245205,2777404,TCS.NS
2021-02-15,2760.169677734375,2820.9577592450128,2752.8732965739478,2820.9577592450128,2630853,TCS.NS
2021-02-16,2732.874755859375,2784.6083111002467,2725.1388349526,2769.092687129255,3435770,TCS.NS
2021-02-17,2701.49169921875,2754.0165516150078,2677.2730841859975,2729.6221641004277,3678426,TCS.NS
2021-02-18,2687.646484375,2723.292889441269,2664.482716711281,2694.371338409791,4189909,TCS.NS
2021-02-19,2700.392578125,2713.8422835830916,2651.4278209785657,2688.2172766850695,3725028,TCS.NS
2021-02-22,2600.70458984375,2721.6216407402294,2587.254672532701,2721.6216407402294,5366696,TCS.NS
2021-02-23,2619.82470703125,2661.8446221272084,2609.1000127059297,2610.8581663533055,3832829,TCS.NS
2021-02-24,2591.607177734375,2640.176185511166,2567.915879169328,2612.617033712622,3774549,TCS.NS
2021-02-25,2633.09912109375,2663.515053520155,2609.4958201264185,2614.374739918471,4224073,TCS.NS
2021-02-26,2544.312744140625,2612.924750692814,2531.7418994246586,2602.068063297566,5553153,TCS.NS
2021-03-01,2570.59716796875,2606.4635559455824,2550.9059271202764,2572.1795496447803,3265871,TCS.NS
2021-03-02,2642.8125,2659.207195706354,2591.5182852701923,2602.0672063771267,3306469,TCS.NS
2021-03-03,2689.1845703125,2693.49196181922,2634.505808531232,2667.9987284991294,3509857,TCS.NS
2021-03-04,2680.920654296875,2708.8313445735425,2651.3398038352525,2657.449345082376,3916760,TCS.NS
2021-03-05,2644.306884765625,2692.7878821208865,2634.2414988104233,2651.3834955910347,3203686,TCS.NS
2021-03-08,2643.33984375,2666.239836472586,2633.7139960672166,2651.29553142147,2003125,TCS.NS
2021-03-09,2682.019775390625,2696.0410098074835,2630.2862256983,2643.3403896236246,1942397,TCS.NS
2021-03-10,2699.601318359375,2719.160780509051,2689.975468674562,2703.1616229327706,3053778,TCS.NS
