Date,Actual,Prophet_Pred
2025-07-01,1268.75341796875,1268.5500012905234
2025-07-02,1262.791259765625,1272.1883715874544
2025-07-03,1283.1619873046875,1275.7237870362248
2025-07-04,1299.1605224609375,1277.087369251459
2025-07-07,1302.240966796875,1285.8540907407735
2025-07-08,1275.7093505859375,1284.7794554272343
2025-07-09,1261.4000244140625,1287.8007892907642
2025-07-10,1262.5999755859375,1290.4772152677497
2025-07-11,1254.699951171875,1290.751844477047
2025-07-14,1250.5999755859375,1295.0813687429838
2025-07-15,1260.9000244140625,1292.2330529479966
2025-07-16,1259.4000244140625,1293.3912669837432
2025-07-17,1263.0999755859375,1294.1539897276632
2025-07-18,1257.5,1292.5045151834786
2025-07-21,1259.300048828125,1291.398587747815
2025-07-22,1240.0,1286.9756442749344
2025-07-23,1247.4000244140625,1286.7327720895776
2025-07-24,1265.5,1286.2946135362351
2025-07-25,1277.9000244140625,1283.6659409463052
2025-07-28,1287.4000244140625,1281.0798662721236
2025-07-29,1299.800048828125,1276.6609581753053
2025-07-30,1292.0999755859375,1276.661142064248
2025-07-31,1270.300048828125,1276.6903797096343
2025-08-01,1220.5999755859375,1274.7334277055465
2025-08-04,1225.0,1275.1216633899642
2025-08-05,1214.800048828125,1271.9082099870382
2025-08-06,1196.699951171875,1273.1627037708204
2025-08-07,1200.800048828125,1274.4590002583316
2025-08-08,1211.4000244140625,1273.7462710961877
2025-08-11,1219.5,1277.4010039389043
2025-08-12,1220.300048828125,1275.0258226511908
2025-08-13,1253.4000244140625,1276.955379090072
2025-08-14,1260.4000244140625,1278.7476664378073
2025-08-18,1262.699951171875,1281.7459243805824
2025-08-19,1244.199951171875,1278.9139055500143
2025-08-20,1245.4000244140625,1280.2197023838114
2025-08-21,1276.5999755859375,1281.2394689693992
2025-08-22,1277.5999755859375,1279.9331409878705
2025-08-25,1283.9000244140625,1280.1271921418186
2025-08-26,1263.199951171875,1276.145201973637
2025-08-28,1259.800048828125,1276.216497936846
2025-08-29,1260.0999755859375,1273.8574566435407
2025-09-01,1279.9000244140625,1271.453048004003
2025-09-02,1253.699951171875,1266.8465320639284
2025-09-03,1262.199951171875,1266.5236030717258
2025-09-04,1253.0,1266.0925081327177
2025-09-05,1268.0999755859375,1263.5397555471436
2025-09-08,1250.5999755859375,1261.3953141439868
2025-09-09,1291.300048828125,1257.1270814687282
2025-09-10,1304.199951171875,1257.2471826974197
2025-09-11,1303.0999755859375,1257.3481814013326
2025-09-12,1316.699951171875,1255.3995947456556
2025-09-15,1300.800048828125,1255.3217864071253
2025-09-16,1310.4000244140625,1251.7685212849499
2025-09-17,1311.4000244140625,1252.5893739696228
2025-09-18,1322.699951171875,1253.3626255189968
2025-09-19,1321.699951171875,1252.0453359125108
2025-09-22,1301.4000244140625,1253.5225060625114
2025-09-23,1308.4000244140625,1250.3545999342311
2025-09-24,1298.0999755859375,1251.4897990010634
2025-09-25,1275.199951171875,1252.5067105141425
2025-09-26,1253.0999755859375,1251.364475424319
2025-09-29,1234.5999755859375,1252.9965844283427
2025-09-30,1223.699951171875,1249.7754253491084
2025-10-01,1244.699951171875,1250.8154015496389
2025-10-03,1248.0999755859375,1250.3988293619632
