Date,Actual,ARIMA_Pred
2025-07-01,1582.57275390625,
2025-07-02,1586.2169189453125,
2025-07-03,1594.293212890625,
2025-07-04,1615.96142578125,
2025-07-07,1602.4681396484375,
2025-07-08,1613.9915771484375,
2025-07-09,1609.0670166015625,
2025-07-10,1591.43701171875,
2025-07-11,1570.85205078125,
2025-07-14,1546.623046875,
2025-07-15,1561.6922607421875,
2025-07-16,1583.6561279296875,
2025-07-17,1559.6240234375,
2025-07-18,1562.1846923828125,
2025-07-21,1560.4119873046875,
2025-07-22,1547.2139892578125,
2025-07-23,1550.7596435546875,
2025-07-24,1529.0914306640625,
2025-07-25,1492.84619140625,
2025-07-28,1493.1417236328125,
2025-07-29,1490.8763427734375,
2025-07-30,1496.0965576171875,
2025-07-31,1486.247314453125,
2025-08-01,1447.4412841796875,
2025-08-04,1458.177001953125,
2025-08-05,1438.2816162109375,
2025-08-06,1415.037353515625,
2025-08-07,1415.234375,
2025-08-08,1401.6424560546875,
2025-08-11,1406.66552734375,
2025-08-12,1402.62744140625,
2025-08-13,1405.0897216796875,
2025-08-14,1425.8714599609375,
2025-08-18,1414.1510009765625,
2025-08-19,1418.2877197265625,
2025-08-20,1473.6402587890625,
2025-08-21,1473.8372802734375,
2025-08-22,1465.0714111328125,
2025-08-25,1508.9989013671875,
2025-08-26,1506.53662109375,
2025-08-28,1477.4814453125,
2025-08-29,1447.4412841796875,
2025-09-01,1476.7921142578125,
2025-09-02,1476.1025390625,
2025-09-03,1456.798095703125,
2025-09-04,1440.94091796875,
2025-09-05,1422.8182373046875,
2025-09-08,1411.2947998046875,
2025-09-09,1481.6181640625,
2025-09-10,1509.491455078125,
2025-09-11,1486.9366455078125,
2025-09-12,1502.596923828125,
2025-09-15,1485.6563720703125,
2025-09-16,1488.5126953125,
2025-09-17,1499.4453125,
2025-09-18,1517.370849609375,
2025-09-19,1516.976806640625,
2025-09-22,1476.8905029296875,
2025-09-23,1474.920654296875,
2025-09-24,1472.0643310546875,
2025-09-25,1462.4122314453125,
2025-09-26,1427.053466796875,
2025-09-29,1420.060546875,
2025-09-30,1420.060546875,
2025-10-01,1424.000244140625,
2025-10-03,1424.7880859375,
2025-10-06,1453.744873046875,
2025-10-07,1436.5086669921875,
2025-10-08,1472.4583740234375,
2025-10-09,1486.5428466796875,
2025-10-10,1492.058349609375,
2025-10-13,1470.6854248046875,
2025-10-14,1467.435302734375,
2025-10-15,1452.1690673828125,
2025-10-16,1449.312744140625,
2025-10-17,1419.37109375,
2025-10-20,1438.87255859375,
2025-10-21,1450.19921875,
2025-10-23,1505.4532470703125,
2025-10-24,1502.4000244140625,
2025-10-27,1504.5,
2025-10-28,1500.199951171875,
2025-10-29,1510.4000244140625,
2025-10-30,1493.800048828125,
2025-10-31,1482.300048828125,
2025-11-03,1485.5,
2025-11-04,1467.9000244140625,
2025-11-06,1466.699951171875,
2025-11-07,1476.800048828125,
2025-11-10,1513.5,
2025-11-11,1530.300048828125,
2025-11-12,1551.699951171875,
2025-11-13,1541.800048828125,
2025-11-14,1502.800048828125,
2025-11-17,1507.5999755859375,
2025-11-18,1486.4000244140625,
2025-11-19,1541.0999755859375,
2025-11-20,1536.5,
2025-11-21,1545.0,
2025-11-24,1548.0,
2025-11-25,1530.5999755859375,
2025-11-26,1557.9000244140625,
2025-11-27,1566.4000244140625,
2025-11-28,1560.0999755859375,
2025-12-01,1564.0,
2025-12-02,1561.0,
2025-12-03,1578.699951171875,
2025-12-04,1597.5999755859375,
2025-12-05,1616.199951171875,
2025-12-08,1610.800048828125,
2025-12-09,1599.0,
2025-12-10,1584.800048828125,
2025-12-11,1598.0,
2025-12-12,1598.199951171875,
2025-12-15,1606.800048828125,
2025-12-16,1592.9000244140625,
2025-12-17,1602.0,
2025-12-18,1626.800048828125,
2025-12-19,1638.699951171875,
2025-12-22,1689.5999755859375,
2025-12-23,1668.300048828125,
2025-12-24,1663.4000244140625,
2025-12-26,1656.0999755859375,
2025-12-29,1644.699951171875,
2025-12-30,1621.5999755859375,
