Date,Actual,Transformer_Pred
2025-07-01,1582.57275390625,1581.0046
2025-07-02,1586.2169189453125,1582.7566
2025-07-03,1594.293212890625,1584.4042
2025-07-04,1615.96142578125,1589.6288
2025-07-07,1602.4681396484375,1604.7007
2025-07-08,1613.9915771484375,1599.7261
2025-07-09,1609.0670166015625,1608.4719
2025-07-10,1591.43701171875,1607.3243
2025-07-11,1570.85205078125,1596.7799
2025-07-14,1546.623046875,1581.7487
2025-07-15,1561.6922607421875,1562.5844
2025-07-16,1583.6561279296875,1566.4952
2025-07-17,1559.6240234375,1577.8102
2025-07-18,1562.1846923828125,1563.3839
2025-07-21,1560.4119873046875,1562.8506
2025-07-22,1547.2139892578125,1559.527
2025-07-23,1550.7596435546875,1549.1365
2025-07-24,1529.0914306640625,1548.5176
2025-07-25,1492.84619140625,1533.2084
2025-07-28,1493.1417236328125,1507.2073
2025-07-29,1490.8763427734375,1500.8098
2025-07-30,1496.0965576171875,1493.8024
2025-07-31,1486.247314453125,1492.524
2025-08-01,1447.4412841796875,1483.3267
2025-08-04,1458.177001953125,1455.6608
2025-08-05,1438.2816162109375,1456.37
2025-08-06,1415.037353515625,1439.8585
2025-08-07,1415.234375,1421.0745
2025-08-08,1401.6424560546875,1415.6534
2025-08-11,1406.66552734375,1402.5803
2025-08-12,1402.62744140625,1400.3694
2025-08-13,1405.0897216796875,1393.9274
2025-08-14,1425.8714599609375,1392.0117
2025-08-18,1414.1510009765625,1402.1213
2025-08-19,1418.2877197265625,1394.88
2025-08-20,1473.6402587890625,1396.8107
2025-08-21,1473.8372802734375,1431.5142
2025-08-22,1465.0714111328125,1437.7438
2025-08-25,1508.9989013671875,1437.56
2025-08-26,1506.53662109375,1469.3601
2025-08-28,1477.4814453125,1475.2441
2025-08-29,1447.4412841796875,1462.39
2025-09-01,1476.7921142578125,1444.6411
2025-09-02,1476.1025390625,1461.5034
2025-09-03,1456.798095703125,1462.3248
2025-09-04,1440.94091796875,1451.209
2025-09-05,1422.8182373046875,1439.8905
2025-09-08,1411.2947998046875,1425.5461
2025-09-09,1481.6181640625,1413.8522
2025-09-10,1509.491455078125,1453.6534
2025-09-11,1486.9366455078125,1475.6221
2025-09-12,1502.596923828125,1468.0166
2025-09-15,1485.6563720703125,1481.2023
2025-09-16,1488.5126953125,1473.9982
2025-09-17,1499.4453125,1477.1284
2025-09-18,1517.370849609375,1485.1459
2025-09-19,1516.976806640625,1498.7728
2025-09-22,1476.8905029296875,1502.5562
2025-09-23,1474.920654296875,1480.3202
2025-09-24,1472.0643310546875,1477.1881
2025-09-25,1462.4122314453125,1472.9647
2025-09-26,1427.053466796875,1464.4318
2025-09-29,1420.060546875,1438.9784
2025-09-30,1420.060546875,1428.9724
2025-10-01,1424.000244140625,1423.5614
2025-10-03,1424.7880859375,1421.4087
2025-10-06,1453.744873046875,1418.4327
2025-10-07,1436.5086669921875,1434.1766
2025-10-08,1472.4583740234375,1424.1047
2025-10-09,1486.5428466796875,1446.9695
2025-10-10,1492.058349609375,1459.9786
2025-10-13,1470.6854248046875,1468.8563
2025-10-14,1467.435302734375,1459.8635
2025-10-15,1452.1690673828125,1459.0588
2025-10-16,1449.312744140625,1449.5319
2025-10-17,1419.37109375,1446.4796
2025-10-20,1438.87255859375,1426.0188
2025-10-21,1450.19921875,1434.6119
2025-10-23,1505.4532470703125,1440.4177
2025-10-24,1502.4000244140625,1477.468
2025-10-27,1504.5,1482.296
2025-10-28,1500.199951171875,1488.3932
2025-10-29,1510.4000244140625,1488.8337
2025-10-30,1493.800048828125,1497.3
2025-10-31,1482.300048828125,1489.3217
2025-11-03,1485.5,1482.7023
2025-11-04,1467.9000244140625,1484.0785
2025-11-06,1466.699951171875,1472.2654
2025-11-07,1476.800048828125,1469.2163
2025-11-10,1513.5,1473.8364
2025-11-11,1530.300048828125,1497.8324
2025-11-12,1551.699951171875,1513.3531
2025-11-13,1541.800048828125,1532.7035
2025-11-14,1502.800048828125,1532.3706
2025-11-17,1507.5999755859375,1510.646
2025-11-18,1486.4000244140625,1511.0029
2025-11-19,1541.0999755859375,1495.4434
2025-11-20,1536.5,1526.8137
2025-11-21,1545.0,1527.3717
2025-11-24,1548.0,1535.6162
2025-11-25,1530.5999755859375,1540.2672
2025-11-26,1557.9000244140625,1531.3524
2025-11-27,1566.4000244140625,1548.5802
2025-11-28,1560.0999755859375,1557.1111
2025-12-01,1564.0,1556.8525
2025-12-02,1561.0,1561.2587
2025-12-03,1578.699951171875,1560.7463
2025-12-04,1597.5999755859375,1572.2621
2025-12-05,1616.199951171875,1586.3123
2025-12-08,1610.800048828125,1602.3007
2025-12-09,1599.0,1604.2355
2025-12-10,1584.800048828125,1600.2164
2025-12-11,1598.0,1592.415
2025-12-12,1598.199951171875,1599.689
2025-12-15,1606.800048828125,1600.137
2025-12-16,1592.9000244140625,1605.9149
2025-12-17,1602.0,1598.2411
2025-12-18,1626.800048828125,1603.2042
2025-12-19,1638.699951171875,1619.0114
2025-12-22,1689.5999755859375,1631.4708
2025-12-23,1668.300048828125,1674.2775
2025-12-24,1663.4000244140625,1668.5076
2025-12-26,1656.0999755859375,1669.1923
2025-12-29,1644.699951171875,1665.5728
2025-12-30,1621.5999755859375,1657.4419
