Date,Actual,Prophet_Pred
2025-07-01,1582.57275390625,1544.8032189553421
2025-07-02,1586.2169189453125,1547.7173756774894
2025-07-03,1594.293212890625,1549.8423241671135
2025-07-04,1615.96142578125,1550.1924686506636
2025-07-07,1602.4681396484375,1558.8829467820965
2025-07-08,1613.9915771484375,1559.9829998246018
2025-07-09,1609.0670166015625,1563.8848436347644
2025-07-10,1591.43701171875,1567.01233713577
2025-07-11,1570.85205078125,1568.354366233532
2025-07-14,1546.623046875,1579.703120324419
2025-07-15,1561.6922607421875,1581.5045642050911
2025-07-16,1583.6561279296875,1585.9811240731024
2025-07-17,1559.6240234375,1589.5404007887753
2025-07-18,1562.1846923828125,1591.1586110996134
2025-07-21,1560.4119873046875,1602.3365063054594
2025-07-22,1547.2139892578125,1603.74753818513
2025-07-23,1550.7596435546875,1607.6776922720912
2025-07-24,1529.0914306640625,1610.5472686910564
2025-07-25,1492.84619140625,1611.3489494584644
2025-07-28,1493.1417236328125,1619.5276635834766
2025-07-29,1490.8763427734375,1619.8377529866452
2025-07-30,1496.0965576171875,1622.66077323757
2025-07-31,1486.247314453125,1624.4442085970861
2025-08-01,1447.4412841796875,1624.2072343885377
2025-08-04,1458.177001953125,1629.7942545895003
2025-08-05,1438.2816162109375,1629.481809444417
2025-08-06,1415.037353515625,1631.8276833284406
2025-08-07,1415.234375,1633.2880701123113
2025-08-08,1401.6424560546875,1632.8863377725331
2025-08-11,1406.66552734375,1638.9005583371802
2025-08-12,1402.62744140625,1639.0052096090028
2025-08-13,1405.0897216796875,1641.8785375780622
2025-08-14,1425.8714599609375,1643.9548725853742
2025-08-18,1414.1510009765625,1652.3856968147502
2025-08-19,1418.2877197265625,1653.137475485495
2025-08-20,1473.6402587890625,1656.5754162809085
2025-08-21,1473.8372802734375,1659.10576123592
2025-08-22,1465.0714111328125,1659.7010718201823
2025-08-25,1508.9989013671875,1667.7764214307028
2025-08-26,1506.53662109375,1668.1084203244666
2025-08-28,1477.4814453125,1672.6047734805757
2025-08-29,1447.4412841796875,1672.1519970739703
2025-09-01,1476.7921142578125,1675.9677696674946
2025-09-02,1476.1025390625,1674.5734030660863
2025-09-03,1456.798095703125,1675.5445324463906
2025-09-04,1440.94091796875,1675.3178668790522
2025-09-05,1422.8182373046875,1672.904177008569
2025-09-08,1411.2947998046875,1670.9205716643344
2025-09-09,1481.6181640625,1667.740611894486
2025-09-10,1509.491455078125,1667.057331842133
2025-09-11,1486.9366455078125,1665.338685945908
2025-09-12,1502.596923828125,1661.6234816187978
2025-09-15,1485.6563720703125,1657.096861913529
2025-09-16,1488.5126953125,1653.5718579875638
2025-09-17,1499.4453125,1652.805918368575
2025-09-18,1517.370849609375,1651.2652442795475
