Date,Actual,Transformer_Pred
2025-07-01,1651.005126953125,1709.5221
2025-07-02,1661.205078125,1707.0968
2025-07-03,1663.3836669921875,1710.928
2025-07-04,1660.0169677734375,1711.7926
2025-07-07,1669.05810546875,1710.7445
2025-07-08,1661.7059326171875,1714.3365
2025-07-09,1658.6259765625,1712.2395
2025-07-10,1651.7703857421875,1711.3977
2025-07-11,1661.2091064453125,1708.8019
2025-07-14,1671.74072265625,1711.8088
2025-07-15,1716.3509521484375,1715.31
2025-07-16,1690.02197265625,1732.354
2025-07-17,1692.406494140625,1725.9279
2025-07-18,1682.669677734375,1729.7632
2025-07-21,1681.378173828125,1728.5964
2025-07-22,1667.17041015625,1728.9575
2025-07-23,1671.641357421875,1723.5066
2025-07-24,1681.080078125,1724.2488
2025-07-25,1688.034912109375,1726.8755
2025-07-28,1691.214111328125,1729.3474
2025-07-29,1699.460693359375,1731.232
2025-07-30,1722.6103515625,1735.4146
2025-07-31,1695.6851806640625,1745.3622
2025-08-01,1619.18212890625,1738.1283
2025-08-04,1631.0052490234375,1711.103
2025-08-05,1621.566650390625,1712.8998
2025-08-06,1584.90478515625,1704.7261
2025-08-07,1588.0841064453125,1685.2131
2025-08-08,1576.6583251953125,1680.3632
2025-08-11,1598.0196533203125,1670.3752
2025-08-12,1611.73046875,1673.2506
2025-08-13,1629.217041015625,1674.9778
2025-08-14,1630.806640625,1679.8817
2025-08-18,1622.1627197265625,1680.6329
2025-08-19,1616.10205078125,1678.4069
2025-08-20,1622.5601806640625,1676.8354
2025-08-21,1629.6142578125,1679.2057
2025-08-22,1631.2041015625,1681.62
2025-08-25,1646.0078125,1682.1537
2025-08-26,1589.971923828125,1688.299
2025-08-28,1575.466064453125,1667.7432
2025-08-29,1584.2093505859375,1660.5466
2025-09-01,1553.210693359375,1660.326
2025-09-02,1555.098388671875,1643.493
2025-09-03,1568.51123046875,1638.9078
2025-09-04,1572.088134765625,1639.6321
2025-09-05,1583.3150634765625,1637.9425
2025-09-08,1570.79638671875,1640.7446
2025-09-09,1581.4273681640625,1635.3162
2025-09-10,1583.116455078125,1638.8857
2025-09-11,1599.3111572265625,1639.0565
2025-09-12,1606.1666259765625,1645.2612
2025-09-15,1591.660888671875,1648.8298
2025-09-16,1600.1060791015625,1644.6943
2025-09-17,1609.743408203125,1649.0833
2025-09-18,1637.9600830078125,1653.5912
2025-09-19,1645.3123779296875,1665.6074
2025-09-22,1633.389892578125,1671.0645
2025-09-23,1620.67236328125,1670.0486
2025-09-24,1616.598876953125,1668.1494
2025-09-25,1616.89697265625,1668.013
2025-09-26,1576.4595947265625,1668.108
2025-09-29,1579.04296875,1651.3175
2025-09-30,1584.0106201171875,1649.6849
2025-10-01,1625.64013671875,1648.6105
2025-10-03,1620.67236328125,1662.4897
2025-10-06,1644.020751953125,1660.9535
2025-10-07,1642.4310302734375,1671.989
2025-10-08,1621.06982421875,1674.8789
2025-10-09,1647.7962646484375,1669.7611
2025-10-10,1660.1162109375,1681.864
2025-10-13,1657.63232421875,1688.3794
2025-10-14,1643.7227783203125,1689.8623
2025-10-15,1644.418212890625,1687.3558
2025-10-16,1648.29296875,1689.5652
2025-10-17,1668.2633056640625,1691.9736
2025-10-20,1677.7020263671875,1700.064
2025-10-21,1679.5897216796875,1705.0309
2025-10-23,1678.99365234375,1708.2183
2025-10-24,1688.034912109375,1711.063
2025-10-27,1682.669677734375,1717.2874
2025-10-28,1676.1123046875,1717.8745
2025-10-29,1704.8258056640625,1717.2021
2025-10-30,1692.406494140625,1728.9686
2025-10-31,1679.788330078125,1726.6399
2025-11-03,1695.3870849609375,1724.0396
2025-11-04,1679.093017578125,1731.1763
2025-11-06,1675.0194091796875,1726.3153
2025-11-07,1680.48388671875,1724.8998
2025-11-10,1686.8426513671875,1726.5823
2025-11-11,1705.0245361328125,1728.5962
2025-11-12,1720.9212646484375,1735.6517
2025-11-13,1726.18701171875,1743.2607
2025-11-14,1745.7598876953125,1748.2108
2025-11-17,1752.5159912109375,1758.5822
2025-11-18,1747.448974609375,1765.2268
2025-11-19,1772.5855712890625,1767.6965
2025-11-20,1765.928955078125,1780.0194
2025-11-21,1768.2139892578125,1781.7689
2025-11-24,1769.3070068359375,1785.9042
2025-11-25,1765.332763671875,1789.3224
2025-11-26,1793.25146484375,1790.3705
2025-11-27,1798.6165771484375,1801.3351
2025-11-28,1819.779052734375,1805.6447
2025-12-01,1795.7353515625,1815.6466
2025-12-02,1787.88623046875,1812.0839
2025-12-03,1795.039794921875,1812.5624
2025-12-04,1806.56494140625,1816.5244
2025-12-05,1793.64892578125,1821.0769
2025-12-08,1784.6075439453125,1818.0801
2025-12-09,1764.5379638671875,1816.2097
2025-12-10,1773.9765625,1810.2578
2025-12-11,1795.5364990234375,1812.516
2025-12-12,1781.9249267578125,1818.4998
2025-12-15,1785.501708984375,1814.1786
2025-12-16,1769.8037109375,1815.6727
2025-12-17,1781.328857421875,1811.2461
2025-12-18,1734.6322021484375,1814.787
2025-12-19,1733.638671875,1799.4407
2025-12-22,1758.3779296875,1797.0704
2025-12-23,1744.567626953125,1802.4865
2025-12-24,1725.7896728515625,1795.9609
2025-12-26,1708.402587890625,1788.4066
2025-12-29,1706.1173095703125,1781.1624
2025-12-30,1709.0980224609375,1777.7083
