Date,Actual,ARIMA_Pred
2025-07-01,1651.0052490234375,1661.7252072468052
2025-07-02,1661.205078125,1652.2247271012864
2025-07-03,1663.3837890625,1660.6113226225914
2025-07-04,1660.016845703125,1665.4851029623126
2025-07-07,1669.05810546875,1661.4347503210647
2025-07-08,1661.7059326171875,1668.3479569059436
2025-07-09,1658.6259765625,1664.2575206774884
2025-07-10,1651.7703857421875,1659.9641905998365
2025-07-11,1661.2091064453125,1651.5170919773395
2025-07-14,1671.74072265625,1662.9948857552026
2025-07-15,1716.3509521484375,1672.2670102900204
2025-07-16,1690.02197265625,1714.7073430706328
2025-07-17,1692.406494140625,1694.2845068985835
2025-07-18,1682.669677734375,1693.1558493657103
2025-07-21,1681.378173828125,1681.5233435972507
2025-07-22,1667.17041015625,1685.2631005113003
2025-07-23,1671.641357421875,1667.8717408930477
2025-07-24,1681.080078125,1670.6687366311448
2025-07-25,1688.034912109375,1683.8430097764622
2025-07-28,1691.214111328125,1688.3732684891324
2025-07-29,1699.460693359375,1691.0208357052368
2025-07-30,1722.6103515625,1701.8359194583297
2025-07-31,1695.6851806640625,1721.9016899495648
2025-08-01,1619.18212890625,1697.9652387809613
2025-08-04,1631.0052490234375,1624.9322806728476
2025-08-05,1621.566650390625,1627.7824525778751
2025-08-06,1584.90478515625,1623.005482766173
2025-08-07,1588.0841064453125,1591.627459387725
2025-08-08,1576.6583251953125,1583.9845555924512
2025-08-11,1598.0196533203125,1578.2986073107566
2025-08-12,1611.73046875,1601.939114265812
2025-08-13,1629.217041015625,1607.5206471015738
2025-08-14,1630.806640625,1631.6533100703841
2025-08-18,1622.1627197265625,1634.336834130757
2025-08-19,1616.10205078125,1619.713263757362
2025-08-20,1622.5601806640625,1619.0655759102626
2025-08-21,1629.6142578125,1624.4637119820854
2025-08-22,1631.2041015625,1627.380040307837
2025-08-25,1646.0078125,1634.4878516252936
2025-08-26,1589.971923828125,1646.757883268612
2025-08-28,1575.466064453125,1591.4820261523826
2025-08-29,1584.2093505859375,1578.622121018479
2025-09-01,1553.210693359375,1582.423784135707
2025-09-02,1555.098388671875,1556.3750313234339
2025-09-03,1568.51123046875,1557.3429941953632
2025-09-04,1572.088134765625,1565.5862878601604
2025-09-05,1583.3150634765625,1575.4815984926463
2025-09-08,1570.79638671875,1584.557670462155
2025-09-09,1581.4273681640625,1569.634215808223
2025-09-10,1583.116455078125,1584.3092227064203
2025-09-11,1599.3111572265625,1583.5920713949074
2025-09-12,1606.1666259765625,1598.3139294226394
2025-09-15,1591.660888671875,1608.8615319032147
2025-09-16,1600.1060791015625,1593.121169011354
2025-09-17,1609.743408203125,1599.127245392598
2025-09-18,1637.9600830078125,1611.683953319903
2025-09-19,1645.3123779296875,1638.0870182829383
2025-09-22,1633.389892578125,1645.168128830357
2025-09-23,1620.67236328125,1636.6513489338877
2025-09-24,1616.598876953125,1621.2127388893473
2025-09-25,1616.89697265625,1616.5777182577892
2025-09-26,1576.4595947265625,1619.4436097385717
2025-09-29,1579.04296875,1578.5513402106787
2025-09-30,1584.0106201171875,1578.4720383666202
2025-10-01,1625.64013671875,1585.350813985908
2025-10-03,1620.67236328125,1625.611722808144
2025-10-06,1644.020751953125,1621.4823544329854
2025-10-07,1642.4310302734375,1645.1721681110043
2025-10-08,1621.06982421875,1642.8166730603411
2025-10-09,1647.7962646484375,1623.4856617380553
2025-10-10,1660.1162109375,1647.1444838955126
2025-10-13,1657.63232421875,1660.162735015239
2025-10-14,1643.7227783203125,1660.8008291255528
2025-10-15,1644.418212890625,1643.9099303980545
2025-10-16,1648.29296875,1644.6342690584988
2025-10-17,1668.2633056640625,1650.5722212416465
2025-10-20,1677.7020263671875,1667.529137671794
2025-10-21,1679.5897216796875,1678.3010518479452
2025-10-23,1678.99365234375,1682.0819511613608
2025-10-24,1688.034912109375,1678.6258295177815
2025-10-27,1682.669677734375,1688.6384700646126
2025-10-28,1676.1123046875,1685.2294834124746
2025-10-29,1704.8258056640625,1676.1567792094263
2025-10-30,1692.406494140625,1704.2702650816786
2025-10-31,1679.788330078125,1695.6216801326739
2025-11-03,1695.3870849609375,1680.6212267748863
2025-11-04,1679.093017578125,1694.1346499524964
2025-11-06,1675.0194091796875,1682.8379824700487
2025-11-07,1680.48388671875,1675.6974174095742
2025-11-10,1686.8426513671875,1679.1376209801413
2025-11-11,1705.0245361328125,1690.0896967684462
2025-11-12,1720.9212646484375,1704.7195677951818
2025-11-13,1726.18701171875,1719.992080134378
2025-11-14,1745.7598876953125,1729.6524744400153
2025-11-17,1752.5159912109375,1744.821782542119
2025-11-18,1747.448974609375,1752.416282803459
2025-11-19,1772.5855712890625,1751.3201693438998
2025-11-20,1765.928955078125,1770.4874764229157
2025-11-21,1768.2139892578125,1767.0960925120712
2025-11-24,1769.3070068359375,1771.8407155019368
2025-11-25,1765.332763671875,1767.174137241839
2025-11-26,1793.25146484375,1767.3037786683503
2025-11-27,1798.6165771484375,1794.8555146243127
2025-11-28,1819.779052734375,1796.977402991208
2025-12-01,1795.7353515625,1821.8633079176752
2025-12-02,1787.88623046875,1798.3427145815715
2025-12-03,1795.039794921875,1787.0628002450524
2025-12-04,1806.56494140625,1796.327571103899
2025-12-05,1793.64892578125,1808.1637243089745
2025-12-08,1784.6075439453125,1793.91665091935
2025-12-09,1764.5379638671875,1786.455957355066
2025-12-10,1773.9765625,1766.2862400676113
2025-12-11,1795.5364990234375,1773.4247013079632
2025-12-12,1781.9249267578125,1796.270459398046
2025-12-15,1785.501708984375,1784.5421948068126
2025-12-16,1769.8037109375,1785.1324026238995
2025-12-17,1781.328857421875,1771.254835006475
2025-12-18,1734.6322021484375,1782.9354874515093
2025-12-19,1733.638671875,1736.157366679464
2025-12-22,1758.3779296875,1734.676337561535
2025-12-23,1744.567626953125,1757.8211710589194
2025-12-24,1725.7896728515625,1747.0854053198734
2025-12-26,1708.402587890625,1727.613658059988
2025-12-29,1706.1173095703125,1708.2107570536612
2025-12-30,1709.0980224609375,1708.0282525368839
