Date,Actual,Prophet_Pred
2025-07-01,2277.595703125,2356.3832431014034
2025-07-02,2289.10546875,2366.981619172701
2025-07-03,2295.356201171875,2368.0421657670095
2025-07-04,2321.05419921875,2376.961353157062
2025-07-07,2391.599609375,2400.7355895306077
2025-07-08,2374.03759765625,2405.846110774841
2025-07-09,2404.498046875,2415.023459014441
2025-07-10,2389.615234375,2414.0988301151324
2025-07-11,2499.947998046875,2420.5014282850693
2025-07-14,2496.971435546875,2434.0220757802394
2025-07-15,2507.19091796875,2435.0205314355057
2025-07-16,2497.963623046875,2439.8605666632893
2025-07-17,2490.224365234375,2434.4543310758518
2025-07-18,2470.181884765625,2436.314868241291
2025-07-21,2445.674560546875,2436.690744144975
2025-07-22,2460.359130859375,2433.7388266504145
2025-07-23,2431.28759765625,2434.9681174102616
2025-07-24,2418.785888671875,2426.355031506285
2025-07-25,2396.560546875,2425.4681729429353
2025-07-28,2422.556396484375,2420.7615576655276
2025-07-29,2434.462890625,2417.247038972654
2025-07-30,2418.388916015625,2418.489336477893
2025-07-31,2501.535400390625,2410.453108977249
2025-08-01,2533.781982421875,2410.683905840248
2025-08-04,2523.85986328125,2412.1909085692782
2025-08-05,2514.93017578125,2411.5292729710254
2025-08-06,2515.8232421875,2415.9119889206736
2025-08-07,2497.8642578125,2411.234441990795
2025-08-08,2479.11181640625,2414.9703093434923
2025-08-11,2498.757080078125,2427.148167179438
2025-08-12,2464.42724609375,2429.8644999993094
2025-08-13,2475.63916015625,2437.4305658514218
2025-08-14,2461.252197265625,2435.68766629999
2025-08-18,2548.06982421875,2460.051536101129
2025-08-19,2584.4833984375,2463.93651718275
2025-08-20,2648.9765625,2472.2778060000887
2025-08-21,2627.346435546875,2470.924885098809
2025-08-22,2609.387451171875,2477.321560036723
2025-08-25,2611.074462890625,2493.439363121268
2025-08-26,2671.5986328125,2496.1772604811467
2025-08-28,2633.696533203125,2500.3461163596803
2025-08-29,2639.054443359375,2505.163338081204
2025-09-01,2628.834716796875,2516.4041245071903
2025-09-02,2656.120361328125,2517.6037730126495
2025-09-03,2643.916015625,2523.1684381505283
2025-09-04,2645.801513671875,2519.018624838921
2025-09-05,2612.860107421875,2522.6630673550562
2025-09-08,2603.434326171875,2531.316537254692
2025-09-09,2621.393310546875,2531.9550738816984
2025-09-10,2622.881591796875,2537.088179698599
2025-09-11,2601.54931640625,2532.6147545390304
2025-09-12,2560.372802734375,2536.016952362086
2025-09-15,2560.868896484375,2544.110624109746
2025-09-16,2560.769775390625,2544.4997984266197
2025-09-17,2549.656982421875,2549.2910934692773
2025-09-18,2566.623779296875,2544.3479472253566
2025-09-19,2539.635986328125,2547.119308544668
2025-09-22,2552.1376953125,2552.075020997417
2025-09-23,2502.527587890625,2550.933341494219
2025-09-24,2529.61474609375,2553.930178453398
2025-09-25,2518.502197265625,2546.9253072345864
2025-09-26,2492.208740234375,2547.370290158558
2025-09-29,2478.4169921875,2543.8772819385995
2025-09-30,2494.788330078125,2539.4976050886926
2025-10-01,2516.41845703125,2539.0922711049925
2025-10-03,2525.050537109375,2525.375769601412
2025-10-06,2521.974853515625,2510.8571378704064
2025-10-07,2497.566650390625,2502.8894887531546
2025-10-08,2480.60009765625,2499.007541390297
2025-10-09,2497.963623046875,2485.143596971063
2025-10-10,2509.17529296875,2478.8222623007805
2025-10-13,2473.35693359375,2456.2954826593523
2025-10-14,2482.782958984375,2446.2128665891405
2025-10-15,2499.3525390625,2440.52331213516
2025-10-16,2541.52099609375,2425.170455023464
2025-10-17,2583.391845703125,2417.685780586716
2025-10-20,2574.164306640625,2393.6285318209916
2025-10-21,2571.485595703125,2383.6722205577876
2025-10-23,2581.308349609375,2363.774193038114
2025-10-24,2496.772705078125,2357.27817012622
2025-10-27,2492.208740234375,2337.6445270799936
2025-10-28,2477.62353515625,2329.5859258252567
2025-10-29,2468.693603515625,2326.401786058435
2025-10-30,2450.337890625,2314.002961833448
2025-10-31,2446.269775390625,2309.886578201401
2025-11-03,2440.812744140625,2298.063544636187
2025-11-04,2426.624267578125,2292.7749950513585
2025-11-06,2417.0,2282.8823982157814
2025-11-07,2414.0,2281.6536830752
2025-11-10,2408.800048828125,2278.4641363689093
2025-11-11,2427.5,2275.985807175992
2025-11-12,2424.5,2278.3733519356556
2025-11-13,2407.60009765625,2271.50218613856
2025-11-14,2427.699951171875,2272.833424750204
2025-11-17,2425.0,2276.504068317258
2025-11-18,2404.0,2275.9717444614444
2025-11-19,2441.60009765625,2280.102250982981
2025-11-20,2428.39990234375,2274.7528616846216
2025-11-21,2433.699951171875,2277.368154055836
2025-11-24,2424.199951171875,2283.3333898932656
2025-11-25,2414.10009765625,2283.017688007807
2025-11-26,2425.199951171875,2287.0850436581686
2025-11-27,2451.699951171875,2281.3954433887493
2025-11-28,2466.60009765625,2283.4006348120674
2025-12-01,2464.5,2286.057374250575
2025-12-02,2477.800048828125,2284.2161461370347
2025-12-03,2448.0,2286.592511734893
2025-12-04,2462.199951171875,2279.0797908264494
2025-12-05,2338.60009765625,2279.166236260907
2025-12-08,2314.0,2275.8914663084806
2025-12-09,2306.5,2272.1531003574455
2025-12-10,2301.699951171875,2272.7413365684106
2025-12-11,2305.60009765625,2263.588817779901
2025-12-12,2260.60009765625,2262.220438481475
2025-12-15,2293.5,2255.998840558733
2025-12-16,2281.10009765625,2251.828336113123
2025-12-17,2275.60009765625,2252.283513331459
2025-12-18,2265.5,2243.30153464089
2025-12-19,2280.0,2242.404817643944
2025-12-22,2289.5,2239.2748677388095
2025-12-23,2302.60009765625,2236.616820163556
2025-12-24,2282.199951171875,2238.771634315493
2025-12-26,2285.39990234375,2232.689427492972
2025-12-29,2293.300048828125,2235.5466805027872
2025-12-30,2290.199951171875,2234.7652145089564
