Date,Actual,GRU_Pred
2025-07-01,1651.005126953125,1652.3566
2025-07-02,1661.205078125,1652.3909
2025-07-03,1663.3836669921875,1652.9583
2025-07-04,1660.0169677734375,1654.1898
2025-07-07,1669.05810546875,1654.8959
2025-07-08,1661.7059326171875,1656.7227
2025-07-09,1658.6259765625,1657.4943
2025-07-10,1651.7703857421875,1657.0774
2025-07-11,1661.2091064453125,1655.118
2025-07-14,1671.74072265625,1654.5077
2025-07-15,1716.3509521484375,1656.4725
2025-07-16,1690.02197265625,1666.6185
2025-07-17,1692.406494140625,1673.879
2025-07-18,1682.669677734375,1678.4265
2025-07-21,1681.378173828125,1679.4376
2025-07-22,1667.17041015625,1678.6515
2025-07-23,1671.641357421875,1675.052
2025-07-24,1681.080078125,1671.7582
2025-07-25,1688.034912109375,1670.9738
2025-07-28,1691.214111328125,1672.6035
2025-07-29,1699.460693359375,1675.3796
2025-07-30,1722.6103515625,1679.3717
2025-07-31,1695.6851806640625,1686.9347
2025-08-01,1619.18212890625,1690.0582
2025-08-04,1631.0052490234375,1677.6128
2025-08-05,1621.566650390625,1662.8615
2025-08-06,1584.90478515625,1649.1494
2025-08-07,1588.0841064453125,1632.4031
2025-08-08,1576.6583251953125,1617.8905
2025-08-11,1598.0196533203125,1605.2802
2025-08-12,1611.73046875,1599.374
2025-08-13,1629.217041015625,1599.776
2025-08-14,1630.806640625,1605.5013
2025-08-18,1622.1627197265625,1612.4114
2025-08-19,1616.10205078125,1616.7578
2025-08-20,1622.5601806640625,1618.0289
2025-08-21,1629.6142578125,1618.9247
2025-08-22,1631.2041015625,1620.8591
2025-08-25,1646.0078125,1623.1936
2025-08-26,1589.971923828125,1627.7222
2025-08-28,1575.466064453125,1622.8583
2025-08-29,1584.2093505859375,1612.122
2025-09-01,1553.210693359375,1602.7712
2025-09-02,1555.098388671875,1590.8344
2025-09-03,1568.51123046875,1580.1992
2025-09-04,1572.088134765625,1574.5475
2025-09-05,1583.3150634765625,1572.7256
2025-09-08,1570.79638671875,1574.5973
2025-09-09,1581.4273681640625,1575.4023
2025-09-10,1583.116455078125,1577.172
2025-09-11,1599.3111572265625,1579.3756
2025-09-12,1606.1666259765625,1584.0743
2025-09-15,1591.660888671875,1590.1544
2025-09-16,1600.1060791015625,1593.106
2025-09-17,1609.743408203125,1595.4672
2025-09-18,1637.9600830078125,1598.94
2025-09-19,1645.3123779296875,1607.1033
2025-09-22,1633.389892578125,1617.014
2025-09-23,1620.67236328125,1623.5615
2025-09-24,1616.598876953125,1625.129
2025-09-25,1616.89697265625,1623.6915
2025-09-26,1576.4595947265625,1621.533
2025-09-29,1579.04296875,1612.7705
2025-09-30,1584.0106201171875,1603.1764
2025-10-01,1625.64013671875,1596.2136
2025-10-03,1620.67236328125,1598.8833
2025-10-06,1644.020751953125,1604.368
2025-10-07,1642.4310302734375,1613.4973
2025-10-08,1621.06982421875,1622.0742
2025-10-09,1647.7962646484375,1624.9615
2025-10-10,1660.1162109375,1629.3262
2025-10-13,1657.63232421875,1635.9272
2025-10-14,1643.7227783203125,1641.7913
2025-10-15,1644.418212890625,1643.7544
2025-10-16,1648.29296875,1643.7828
2025-10-17,1668.2633056640625,1643.8333
2025-10-20,1677.7020263671875,1647.3772
2025-10-21,1679.5897216796875,1653.3943
2025-10-23,1678.99365234375,1659.4915
2025-10-24,1688.034912109375,1664.2273
2025-10-27,1682.669677734375,1668.9781
2025-10-28,1676.1123046875,1672.0176
2025-10-29,1704.8258056640625,1672.6365
2025-10-30,1692.406494140625,1676.9865
2025-10-31,1679.788330078125,1680.2189
2025-11-03,1695.3870849609375,1680.0363
2025-11-04,1679.093017578125,1681.0598
2025-11-06,1675.0194091796875,1679.8925
2025-11-07,1680.48388671875,1677.2426
2025-11-10,1686.8426513671875,1675.4808
2025-11-11,1705.0245361328125,1675.5997
2025-11-12,1720.9212646484375,1679.5214
2025-11-13,1726.18701171875,1686.9117
2025-11-14,1745.7598876953125,1695.069
2025-11-17,1752.5159912109375,1705.049
2025-11-18,1747.448974609375,1714.9775
2025-11-19,1772.5855712890625,1722.0382
2025-11-20,1765.928955078125,1730.6525
2025-11-21,1768.2139892578125,1737.3561
2025-11-24,1769.3070068359375,1742.2474
2025-11-25,1765.332763671875,1745.7126
2025-11-26,1793.25146484375,1747.3628
2025-11-27,1798.6165771484375,1752.594
2025-11-28,1819.779052734375,1759.3544
2025-12-01,1795.7353515625,1768.728
2025-12-02,1787.88623046875,1773.4015
2025-12-03,1795.039794921875,1773.7288
2025-12-04,1806.56494140625,1773.5688
2025-12-05,1793.64892578125,1775.378
2025-12-08,1784.6075439453125,1775.6211
2025-12-09,1764.5379638671875,1773.5635
2025-12-10,1773.9765625,1767.7208
2025-12-11,1795.5364990234375,1763.0548
2025-12-12,1781.9249267578125,1763.5508
2025-12-15,1785.501708984375,1763.8867
2025-12-16,1769.8037109375,1764.3745
2025-12-17,1781.328857421875,1762.2573
2025-12-18,1734.6322021484375,1761.3009
2025-12-19,1733.638671875,1753.4998
2025-12-22,1758.3779296875,1743.9862
2025-12-23,1744.567626953125,1740.0176
2025-12-24,1725.7896728515625,1737.0416
2025-12-26,1708.402587890625,1731.6398
2025-12-29,1706.1173095703125,1723.2479
2025-12-30,1709.0980224609375,1714.891
