Date,Actual,Prophet_Pred
2025-07-01,1651.0052490234375,1678.6355314003656
2025-07-02,1661.205078125,1683.4203560810906
2025-07-03,1663.3837890625,1684.4789298037595
2025-07-04,1660.016845703125,1687.7338166765442
2025-07-07,1669.05810546875,1694.3241688094092
2025-07-08,1661.7059326171875,1695.394247438862
2025-07-09,1658.6259765625,1700.8292028371377
2025-07-10,1651.7703857421875,1702.5421424460797
2025-07-11,1661.2091064453125,1706.4609959563666
2025-07-14,1671.74072265625,1715.1370374350483
2025-07-15,1716.3509521484375,1716.9378591098862
2025-07-16,1690.02197265625,1723.1187622062605
2025-07-17,1692.406494140625,1725.5882216172945
2025-07-18,1682.669677734375,1730.2673992502494
2025-07-21,1681.378173828125,1741.1491579385852
2025-07-22,1667.17041015625,1743.6185570976616
2025-07-23,1671.641357421875,1750.4104378446373
2025-07-24,1681.080078125,1753.4173795541105
2025-07-25,1688.034912109375,1758.5443588087405
2025-07-28,1691.214111328125,1770.075387584536
2025-07-29,1699.460693359375,1772.4832353959696
2025-07-30,1722.6103515625,1779.055693309353
2025-07-31,1695.6851806640625,1781.6776024538533
2025-08-01,1619.18212890625,1786.2491375644613
2025-08-04,1631.0052490234375,1795.0931582843027
2025-08-05,1621.566650390625,1796.2834547089708
2025-08-06,1584.90478515625,1801.4956022653323
2025-08-07,1588.0841064453125,1802.630567139577
2025-08-08,1576.6583251953125,1805.60781668421
2025-08-11,1598.0196533203125,1809.2575253749822
2025-08-12,1611.73046875,1808.666636007691
2025-08-13,1629.217041015625,1812.119391060428
2025-08-14,1630.806640625,1811.5452290046198
2025-08-18,1622.1627197265625,1812.3731102490187
2025-08-19,1616.10205078125,1810.7080601839502
2025-08-20,1622.5601806640625,1813.273279933259
2025-08-21,1629.6142578125,1812.0100487494783
2025-08-22,1631.2041015625,1812.8733849614357
2025-08-25,1646.0078125,1812.1544895530085
2025-08-26,1589.971923828125,1810.8206912420806
2025-08-28,1575.466064453125,1813.3070608848159
2025-08-29,1584.2093505859375,1814.9859830866894
2025-09-01,1553.210693359375,1817.3279946729947
2025-09-02,1555.098388671875,1817.1322378509801
2025-09-03,1568.51123046875,1821.3604770435554
2025-09-04,1572.088134765625,1821.9105062354738
2025-09-05,1583.3150634765625,1824.6920608579478
2025-09-08,1570.79638671875,1829.9016919101412
2025-09-09,1581.4273681640625,1830.4568727587596
2025-09-10,1583.116455078125,1835.3128958580255
2025-09-11,1599.3111572265625,1836.3606849292592
2025-09-12,1606.1666259765625,1839.506929837513
2025-09-15,1591.660888671875,1845.0372011311695
2025-09-16,1600.1060791015625,1845.4666339646026
2025-09-17,1609.743408203125,1850.1003552427728
2025-09-18,1637.9600830078125,1850.844467895896
2025-09-19,1645.3123779296875,1853.6222899319644
2025-09-22,1633.389892578125,1857.8341426124243
2025-09-23,1620.67236328125,1857.8102399764439
2025-09-24,1616.598876953125,1862.009617603269
2025-09-25,1616.89697265625,1862.351225325187
2025-09-26,1576.4595947265625,1864.7688072704293
2025-09-29,1579.04296875,1868.2152274309365
2025-09-30,1584.0106201171875,1868.0465071744159
2025-10-01,1625.64013671875,1872.1511002048635
2025-10-03,1620.67236328125,1874.8383611887925
2025-10-06,1644.020751953125,1878.2903422186553
2025-10-07,1642.4310302734375,1878.0950324247992
2025-10-08,1621.06982421875,1882.1325207045688
