Date,Actual,LSTM_Pred
2025-07-01,1268.75341796875,1283.0071
2025-07-02,1262.791259765625,1271.9446
2025-07-03,1283.1619873046875,1260.9243
2025-07-04,1299.1605224609375,1255.6986
2025-07-07,1302.240966796875,1257.3955
2025-07-08,1275.7093505859375,1263.0365
2025-07-09,1261.4000244140625,1265.016
2025-07-10,1262.5999755859375,1262.2032
2025-07-11,1254.699951171875,1257.6318
2025-07-14,1250.5999755859375,1251.6069
2025-07-15,1260.9000244140625,1245.2712
2025-07-16,1259.4000244140625,1241.8264
2025-07-17,1263.0999755859375,1240.3097
2025-07-18,1257.5,1240.7937
2025-07-21,1259.300048828125,1241.2728
2025-07-22,1240.0,1242.0062
2025-07-23,1247.4000244140625,1239.3256
2025-07-24,1265.5,1236.6891
2025-07-25,1277.9000244140625,1237.7738
2025-07-28,1287.4000244140625,1242.8394
2025-07-29,1299.800048828125,1250.7778
2025-07-30,1292.0999755859375,1260.9617
2025-07-31,1270.300048828125,1269.018
2025-08-01,1220.5999755859375,1270.5178
2025-08-04,1225.0,1259.3993
2025-08-05,1214.800048828125,1244.5477
2025-08-06,1196.699951171875,1228.675
2025-08-07,1200.800048828125,1212.0931
2025-08-08,1211.4000244140625,1198.9884
2025-08-11,1219.5,1192.0101
2025-08-12,1220.300048828125,1191.013
2025-08-13,1253.4000244140625,1193.5671
2025-08-14,1260.4000244140625,1203.381
2025-08-18,1262.699951171875,1216.531
2025-08-19,1244.199951171875,1229.4885
2025-08-20,1245.4000244140625,1236.6671
2025-08-21,1276.5999755859375,1239.6538
2025-08-22,1277.5999755859375,1245.3761
2025-08-25,1283.9000244140625,1251.6238
2025-08-26,1263.199951171875,1258.1022
2025-08-28,1259.800048828125,1259.7441
2025-08-29,1260.0999755859375,1257.8859
2025-09-01,1279.9000244140625,1254.5203
2025-09-02,1253.699951171875,1254.476
2025-09-03,1262.199951171875,1251.4835
2025-09-04,1253.0,1249.032
2025-09-05,1268.0999755859375,1245.6453
2025-09-08,1250.5999755859375,1245.0873
2025-09-09,1291.300048828125,1243.002
2025-09-10,1304.199951171875,1247.7644
2025-09-11,1303.0999755859375,1257.5157
2025-09-12,1316.699951171875,1267.8982
2025-09-15,1300.800048828125,1279.0857
2025-09-16,1310.4000244140625,1285.6738
2025-09-17,1311.4000244140625,1290.2976
2025-09-18,1322.699951171875,1293.1125
2025-09-19,1321.699951171875,1296.4227
2025-09-22,1301.4000244140625,1299.1104
2025-09-23,1308.4000244140625,1297.2612
2025-09-24,1298.0999755859375,1294.62
2025-09-25,1275.199951171875,1290.1382
2025-09-26,1253.0999755859375,1281.4268
2025-09-29,1234.5999755859375,1268.2196
2025-09-30,1223.699951171875,1251.8881
2025-10-01,1244.699951171875,1235.1117
2025-10-03,1248.0999755859375,1225.0101
2025-10-06,1248.5999755859375,1220.9569
2025-10-07,1248.5,1221.0385
2025-10-08,1234.5,1223.3497
2025-10-09,1246.0999755859375,1223.9978
2025-10-10,1264.4000244140625,1225.747
2025-10-13,1262.4000244140625,1231.0186
2025-10-14,1237.300048828125,1236.8657
2025-10-15,1232.4000244140625,1237.5216
2025-10-16,1240.199951171875,1234.4653
2025-10-17,1255.9000244140625,1231.3826
2025-10-20,1282.0,1231.6359
2025-10-21,1288.699951171875,1238.243
2025-10-23,1279.4000244140625,1248.178
2025-10-24,1283.5999755859375,1256.3585
2025-10-27,1284.300048828125,1262.8
2025-10-28,1289.4000244140625,1267.1808
2025-10-29,1250.9000244140625,1270.5223
2025-10-30,1202.199951171875,1265.7645
2025-10-31,1197.5999755859375,1249.0007
2025-11-03,1196.0,1228.2975
2025-11-04,1200.0,1209.1013
2025-11-06,1205.199951171875,1195.002
2025-11-07,1205.4000244140625,1187.1481
2025-11-10,1198.699951171875,1184.1282
2025-11-11,1211.5,1183.1077
2025-11-12,1229.5999755859375,1185.5957
2025-11-13,1234.9000244140625,1192.6863
2025-11-14,1246.0,1201.918
2025-11-17,1244.4000244140625,1212.5966
2025-11-18,1243.800048828125,1221.8141
2025-11-19,1250.199951171875,1228.4506
2025-11-20,1248.5999755859375,1233.605
2025-11-21,1243.9000244140625,1236.7097
2025-11-24,1226.199951171875,1237.2994
2025-11-25,1236.0999755859375,1233.2877
2025-11-26,1248.0,1229.3214
2025-11-27,1249.300048828125,1228.1771
2025-11-28,1258.800048828125,1228.9552
2025-12-01,1260.0999755859375,1232.2843
2025-12-02,1275.199951171875,1236.5535
2025-12-03,1280.699951171875,1243.1917
2025-12-04,1277.5999755859375,1250.794
2025-12-05,1275.199951171875,1256.914
2025-12-08,1266.5,1260.6503
2025-12-09,1246.199951171875,1260.839
2025-12-10,1250.800048828125,1255.4789
2025-12-11,1273.5,1249.0123
2025-12-12,1279.300048828125,1247.1742
2025-12-15,1280.5999755859375,1249.1328
2025-12-16,1276.9000244140625,1252.9736
2025-12-17,1272.0,1256.4214
2025-12-18,1280.0,1258.1262
2025-12-19,1278.199951171875,1260.0027
2025-12-22,1283.4000244140625,1261.2727
2025-12-23,1283.5,1262.9124
2025-12-24,1265.800048828125,1264.4398
2025-12-26,1269.300048828125,1262.4521
2025-12-29,1268.5999755859375,1259.6187
2025-12-30,1265.800048828125,1256.7201
