Date,Actual,ARIMA_Pred
2025-07-01,12308.77734375,12249.37490335384
2025-07-02,12486.849609375,12321.402934036594
2025-07-03,12615.4580078125,12506.751077837667
2025-07-04,12510.5927734375,12623.718658278573
2025-07-07,12385.9423828125,12496.176660254405
2025-07-08,12281.0771484375,12375.161134296219
2025-07-09,12336.4775390625,12276.977033509735
2025-07-10,12514.5498046875,12348.352369995386
2025-07-11,12439.3642578125,12532.414071561074
2025-07-14,12380.0068359375,12429.538560796638
2025-07-15,12401.7705078125,12375.24116129944
2025-07-16,12429.470703125,12405.738206996131
2025-07-17,12342.4130859375,12432.57311428337
2025-07-18,12286.0234375,12335.383701720093
2025-07-21,12272.173828125,12285.015119127082
2025-07-22,12358.2421875,12276.122241903442
2025-07-23,12491.796875,12369.591302628332
2025-07-24,12422.5458984375,12502.407964300757
2025-07-25,12271.1845703125,12411.716038847746
2025-07-28,12207.869140625,12258.014470241951
2025-07-29,12335.48828125,12208.075989342538
2025-07-30,12482.892578125,12352.358284259573
2025-07-31,12473.0,12494.630519636865
2025-08-01,12302.0,12466.024949154664
2025-08-04,12365.0,12284.094903891333
2025-08-05,12537.0,12373.53567727033
2025-08-06,12524.0,12550.55343960998
2025-08-07,12632.0,12515.62579611316
2025-08-08,12590.0,12635.008982829479
2025-08-11,12597.0,12577.678387701775
2025-08-12,12840.0,12592.0904616173
2025-08-13,12834.0,12854.311700475575
2025-08-14,12936.0,12819.151793549892
2025-08-18,14068.0,12932.856875096211
2025-08-19,14250.0,14147.384441673357
2025-08-20,14221.0,14216.02254626853
2025-08-21,14280.0,14174.559586985044
2025-08-22,14349.0,14250.613819240192
2025-08-25,14452.0,14326.217209167753
2025-08-26,14714.0,14438.163540547477
2025-08-28,14752.0,14718.901012237822
2025-08-29,14791.0,14731.444017498572
2025-09-01,14887.0,14775.995561694936
2025-09-02,14842.0,14880.530333307075
2025-09-03,14927.0,14824.715012176262
2025-09-04,14662.0,14925.488550778018
2025-09-05,14895.0,14629.579611420666
2025-09-08,15258.0,14915.247630900225
2025-09-09,15365.0,15285.394229582582
2025-09-10,15108.0,15359.63325002983
2025-09-11,15095.0,15069.920825463869
2025-09-12,15325.0,15091.603223357062
2025-09-15,15265.0,15343.83564518515
2025-09-16,15573.0,15251.819560757709
2025-09-17,15801.0,15596.842036378128
2025-09-18,15817.0,15809.4714619571
2025-09-19,15864.0,15803.660026053652
2025-09-22,15816.0,15856.843489241872
2025-09-23,16097.0,15802.64520706557
2025-09-24,16249.0,16116.751489246732
2025-09-25,16269.0,16253.958933276783
2025-09-26,16286.0,16258.326889663445
2025-09-29,15984.0,16279.6754310775
2025-09-30,16029.0,15950.656815061786
2025-10-01,15965.0,16039.320360103764
2025-10-03,15806.0,15961.781386727576
2025-10-06,15998.0,15795.64727268884
2025-10-07,16108.0,16022.845655013924
2025-10-08,16012.0,16116.270827956216
2025-10-09,15985.0,15998.817833802968
2025-10-10,16265.0,15982.860223673433
2025-10-13,16323.0,16291.524083968405
2025-10-14,16261.0,16319.426060965288
2025-10-15,16212.0,16247.95881931155
2025-10-16,16298.0,16204.93585512691
2025-10-17,16401.0,16305.715813214436
2025-10-20,16424.0,16407.131305824212
2025-10-21,16396.0,16420.865305428964
2025-10-23,16393.0,16389.308840593734
2025-10-24,16274.0,16391.04904281457
2025-10-27,16388.0,16262.478707164895
2025-10-28,16311.0,16401.680794127413
2025-10-29,16138.0,16302.175233610258
2025-10-30,16206.0,16123.95773227721
2025-10-31,16186.0,16218.849927168336
2025-11-03,15651.0,16186.190114289398
2025-11-04,15374.0,15607.409869328474
2025-11-06,15452.0,15367.624674578257
2025-11-07,15479.0,15482.096605503277
2025-11-10,15583.0,15492.50371285744
2025-11-11,15645.0,15598.276350340535
2025-11-12,15696.0,15650.620795113877
2025-11-13,15749.0,15699.372666930063
2025-11-14,15684.0,15751.359647960144
2025-11-17,15878.0,15673.910258609772
2025-11-18,15930.0,15895.927288815927
2025-11-19,15768.0,15927.654683677405
2025-11-20,15801.0,15746.730913544428
2025-11-21,15977.0,15806.178793651134
2025-11-24,15958.0,15993.419213191344
2025-11-25,15889.0,15949.92925523138
2025-11-26,16156.0,15879.13789259619
2025-11-27,15903.0,16181.102371895839
2025-11-28,15900.0,15871.287997491449
2025-12-01,16097.0,15903.004733438253
2025-12-02,16239.0,16116.754495544485
2025-12-03,16082.0,16246.043125913891
2025-12-04,15994.0,16059.366001492886
2025-12-05,16282.0,15986.347691416662
2025-12-08,16187.0,16310.742553440567
2025-12-09,16020.0,16170.447449723188
2025-12-10,16019.0,16003.714778908303
2025-12-11,16248.0,16024.062154902127
2025-12-12,16522.0,16271.190603948626
2025-12-15,16415.0,16540.015093679624
2025-12-16,16354.0,16390.146930597966
2025-12-17,16398.0,16343.97859609825
2025-12-18,16329.0,16401.551392966914
2025-12-19,16414.0,16320.984748825922
2025-12-22,16649.0,16423.098484686863
2025-12-23,16585.0,16667.405502999973
2025-12-24,16703.0,16568.374236588817
2025-12-26,16596.0,16709.61314595884
2025-12-29,16542.0,16579.427650117563
2025-12-30,16647.0,16537.812030990328
