Date,Actual,Prophet_Pred
2025-07-01,406.5790710449219,407.7827481459482
2025-07-02,404.4732055664063,409.03596013242634
2025-07-03,404.864990234375,409.575526438493
2025-07-04,404.0813903808594,410.58580572050295
2025-07-07,407.6075134277344,413.1348821460516
2025-07-08,408.635986328125,414.02335484481307
2025-07-09,410.83978271484375,415.454826133186
2025-07-10,408.2931518554688,416.10138574477355
2025-07-11,408.2441711425781,417.14733450530304
2025-07-14,410.7908020019531,419.3928014670602
2025-07-15,413.4353942871094,420.05433071872494
2025-07-16,415.8840637207031,421.2038377804957
2025-07-17,415.2474060058594,421.5192136898647
2025-07-18,414.072021484375,422.19108507695563
2025-07-21,411.4764404296875,423.1249238178727
2025-07-22,407.4606018066406,423.309311019309
2025-07-23,406.4321594238281,423.97310403944897
2025-07-24,401.5347900390625,423.80065295113434
2025-07-25,400.9960632324219,423.9886494387192
2025-07-28,401.4858093261719,423.54778413831434
2025-07-29,400.0655822753906,423.3144925679903
2025-07-30,399.2330322265625,423.586847663348
2025-07-31,403.4937438964844,423.0518774735919
2025-08-01,407.9013671875,422.9083786200081
2025-08-04,408.2931518554688,421.6724530242224
2025-08-05,405.6485595703125,421.24281063805074
2025-08-06,403.5426940917969,421.3533307990161
2025-08-07,405.10986328125,420.6907260845786
2025-08-08,405.9913940429688,420.4532753759462
2025-08-11,408.2931518554688,419.130411070228
2025-08-12,407.8034057617188,418.7339731436741
2025-08-13,405.599609375,418.90729128420026
2025-08-14,403.0039978027344,418.3361445096701
2025-08-18,397.9596862792969,417.4084803868478
2025-08-19,400.7022399902344,417.2314133725973
2025-08-20,397.7148132324219,417.6460070371503
2025-08-21,397.22509765625,417.3364673801603
2025-08-22,390.1239013671875,417.4983273076974
2025-08-25,391.1523742675781,417.6189137275268
2025-08-26,395.0702819824219,417.7730093627326
2025-08-28,392.6705627441406,418.5534805005103
2025-08-29,401.3388977050781,419.05239840441357
2025-09-01,397.5189514160156,420.13382459790995
2025-09-02,398.4004821777344,420.57737571325737
2025-09-03,403.2978210449219,421.59559841123956
2025-09-04,407.3626403808594,421.8650885677942
2025-09-05,398.9881591796875,422.5737083271239
2025-09-08,399.1840515136719,424.0659945743769
2025-09-09,401.6327209472656,424.5643562434989
2025-09-10,404.5711364746094,425.59296680421437
2025-09-11,406.5300903320313,425.8273514807695
2025-09-12,405.25677490234375,426.45499503755485
2025-09-15,404.1793518066406,427.4362466265594
2025-09-16,404.6201171875,427.6809110855119
2025-09-17,400.8981018066406,428.41890608753806
2025-09-18,403.1019287109375,428.32957125546136
2025-09-19,402.2203979492188,428.60475603849187
2025-09-22,398.5963745117188,428.40627803784673
2025-09-23,394.9233703613281,428.23505022220576
2025-09-24,392.76849365234375,428.55523081378396
2025-09-25,391.8869934082031,428.0517597786047
2025-09-26,396.7843322753906,427.92189830296945
2025-09-29,398.8901977539063,426.61185445433813
2025-09-30,393.3071899414063,426.1186110553591
2025-10-01,397.2740783691406,426.1465617704048
2025-10-03,396.0007629394531,425.02668363205623
2025-10-06,392.5236206054688,423.24464602975524
2025-10-07,391.5931396484375,422.6613023575486
2025-10-08,391.5441589355469,422.63020588683764
2025-10-09,391.6910705566406,421.8362231968199
2025-10-10,394.5315551757813,421.47536030060166
2025-10-13,391.0544128417969,419.80088007416083
2025-10-14,388.6546936035156,419.2816807890699
2025-10-15,391.6910705566406,419.32267960564917
2025-10-16,396.8333129882813,418.60516011114726
2025-10-17,403.6896057128906,418.3217634954194
2025-10-20,404.5711364746094,416.8569311305767
2025-10-21,404.3752746582031,416.3924872475084
2025-10-23,407.41162109375,415.7941549668824
2025-10-24,408.2441711425781,415.5330519501042
2025-10-27,412.01513671875,414.0709935668792
2025-10-28,409.3215942382813,413.5893796589633
2025-10-29,412.9456481933594,413.6512053487673
2025-10-30,410.1541442871094,412.9387628135603
2025-10-31,411.7213134765625,412.64633149557625
2025-11-03,405.4526977539063,411.09346963123636
2025-11-04,400.5063171386719,410.5889526628649
2025-11-06,399.1350708007813,409.91310065395
2025-11-07,395.7558898925781,409.62062248628826
2025-11-10,397.22509765625,408.1250017516775
2025-11-11,398.4984130859375,407.65875014666676
2025-11-12,398.6453247070313,407.75120597005343
2025-11-13,397.3720397949219,407.08508797455846
2025-11-14,399.771728515625,406.8545885046971
2025-11-17,398.7432861328125,405.5732295470393
2025-11-18,397.5189514160156,405.18314586871196
2025-11-19,395.2661437988281,405.3518237306708
