Date,Actual,LSTM_Pred
2025-07-01,3344.597900390625,3373.4263
2025-07-02,3338.3564453125,3376.8862
2025-07-03,3316.4150390625,3375.1885
2025-07-04,3334.943603515625,3367.1182
2025-07-07,3327.044677734375,3361.2573
2025-07-08,3321.680908203125,3356.3035
2025-07-09,3299.837158203125,3351.8325
2025-07-10,3298.08154296875,3344.3582
2025-07-11,3184.9599609375,3336.628
2025-07-14,3142.734375,3308.0615
2025-07-15,3171.599853515625,3264.78
2025-07-16,3163.576171875,3230.997
2025-07-17,3140.18994140625,3207.6792
2025-07-18,3121.304931640625,3189.739
2025-07-21,3090.28662109375,3173.8647
2025-07-22,3091.65673828125,3156.0132
2025-07-23,3110.7373046875,3140.698
2025-07-24,3080.30615234375,3134.1797
2025-07-25,3068.368408203125,3127.0103
2025-07-28,3013.083251953125,3118.433
2025-07-29,2990.284423828125,3099.2532
2025-07-30,2987.93603515625,3074.23
2025-07-31,2971.497314453125,3051.4048
2025-08-01,2938.424072265625,3031.3096
2025-08-04,3008.28857421875,3010.211
2025-08-05,2998.014404296875,3006.8608
2025-08-06,2967.093994140625,3010.9285
2025-08-07,2981.47802734375,3011.398
2025-08-08,2971.105712890625,3012.6238
2025-08-11,2975.411376953125,3011.9016
2025-08-12,2970.127197265625,3011.2256
2025-08-13,2970.91015625,3009.7048
2025-08-14,2957.30908203125,3008.2568
2025-08-18,2946.44775390625,3004.4727
2025-08-19,2951.34033203125,2998.1865
2025-08-20,3031.96826171875,2992.9802
2025-08-21,3035.882568359375,3005.376
2025-08-22,2988.327392578125,3024.8542
2025-08-25,3073.065185546875,3034.0283
2025-08-26,3089.308349609375,3053.1006
2025-08-28,3027.173583984375,3076.7307
2025-08-29,3018.3671875,3084.8496
2025-09-01,3045.667236328125,3081.596
2025-09-02,3044.5908203125,3079.2085
2025-09-03,3030.891845703125,3077.791
2025-09-04,3029.130859375,3074.4058
2025-09-05,2982.75,3070.383
2025-09-08,2954.080078125,3057.4167
2025-09-09,2983.826171875,3037.0076
2025-09-10,3043.123291015625,3023.3586
2025-09-11,3057.017822265625,3027.9363
2025-09-12,3066.02001953125,3043.419
2025-09-15,3044.982177734375,3062.73
2025-09-16,3078.0556640625,3075.3787
2025-09-17,3104.57275390625,3088.7705
2025-09-18,3108.388916015625,3105.397
2025-09-19,3101.050048828125,3121.0244
2025-09-22,3007.70166015625,3131.105
2025-09-23,2996.546630859375,3117.2505
2025-09-24,2970.127197265625,3091.921
2025-09-25,2893.804443359375,3061.3435
2025-09-26,2836.758544921875,3019.797
2025-09-29,2833.82275390625,2971.0073
2025-09-30,2826.288330078125,2928.9758
2025-10-01,2851.53369140625,2897.943
2025-10-03,2839.498046875,2883.3567
2025-10-06,2924.137939453125,2877.3982
2025-10-07,2909.75390625,2892.1672
2025-10-08,2962.103515625,2911.3552
2025-10-09,2995.86181640625,2938.3564
2025-10-10,2963.179931640625,2970.1985
2025-10-13,2942.533935546875,2991.4658
2025-10-14,2896.642333984375,2998.8433
2025-10-15,2916.7763671875,2988.9138
2025-10-16,2917.66015625,2976.766
2025-10-17,2909.311767578125,2966.6333
2025-10-20,2961.365478515625,2958.158
2025-10-21,2953.017333984375,2962.2983
2025-10-23,3018.330078125,2970.1926
2025-10-24,3008.508544921875,2990.8984
2025-10-27,3029.821044921875,3011.7534
2025-10-28,3003.30322265625,3032.4446
2025-10-29,3003.0087890625,3043.3643
2025-10-30,2981.106689453125,3047.062
2025-10-31,3003.4013671875,3042.127
2025-11-03,2962.93701171875,3038.6252
2025-11-04,2936.81201171875,3028.6191
2025-11-06,2957.142333984375,3012.3481
2025-11-07,2938.383544921875,3000.5479
2025-11-10,2971.18701171875,2989.851
2025-11-11,2992.597900390625,2988.3296
2025-11-12,3075.8837890625,2995.845
2025-11-13,3050.249755859375,3022.7886
2025-11-14,3050.54443359375,3048.7134
2025-11-17,3046.812255859375,3068.5051
2025-11-18,3031.98193359375,3080.2559
2025-11-19,3091.499755859375,3082.565
2025-11-20,3088.65185546875,3092.1968
2025-11-21,3094.34814453125,3103.1414
2025-11-24,3085.115966796875,3113.6514
2025-11-25,3063.5087890625,3119.6868
2025-11-26,3106.428466796875,3117.789
2025-11-27,3080.59814453125,3121.3005
2025-11-28,3081.48193359375,3121.5718
2025-12-01,3077.455078125,3120.3372
2025-12-02,3079.714111328125,3117.8076
2025-12-03,3123.22314453125,3115.6616
2025-12-04,3171.544677734375,3123.1497
2025-12-05,3180.384033203125,3143.9656
2025-12-08,3178.71435546875,3168.9158
2025-12-09,3151.01806640625,3188.9604
2025-12-10,3132.259033203125,3197.064
2025-12-11,3134.91064453125,3194.104
2025-12-12,3163.0,3187.0361
2025-12-15,3172.52685546875,3185.2126
2025-12-16,3147.875244140625,3188.3606
2025-12-17,3160.348388671875,3188.3835
2025-12-18,3222.2236328125,3189.2478
2025-12-19,3223.402099609375,3202.6404
2025-12-22,3265.5361328125,3219.6836
2025-12-23,3250.902099609375,3243.3826
2025-12-24,3259.741455078125,3262.3572
2025-12-26,3221.437744140625,3276.7156
2025-12-29,3193.446533203125,3277.8528
2025-12-30,3188.83056640625,3266.5662
