Date,Actual,LSTM_Pred
2025-07-01,1582.57275390625,1571.8568
2025-07-02,1586.2169189453125,1572.8492
2025-07-03,1594.293212890625,1574.3868
2025-07-04,1615.96142578125,1578.0066
2025-07-07,1602.4681396484375,1587.6766
2025-07-08,1613.9915771484375,1593.5178
2025-07-09,1609.0670166015625,1599.2397
2025-07-10,1591.43701171875,1601.7927
2025-07-11,1570.85205078125,1597.0927
2025-07-14,1546.623046875,1584.512
2025-07-15,1561.6922607421875,1565.0375
2025-07-16,1583.6561279296875,1552.3208
2025-07-17,1559.6240234375,1552.5417
2025-07-18,1562.1846923828125,1551.9497
2025-07-21,1560.4119873046875,1552.0078
2025-07-22,1547.2139892578125,1551.8518
2025-07-23,1550.7596435546875,1547.963
2025-07-24,1529.0914306640625,1544.4574
2025-07-25,1492.84619140625,1536.0571
2025-07-28,1493.1417236328125,1517.4877
2025-07-29,1490.8763427734375,1499.6967
2025-07-30,1496.0965576171875,1486.702
2025-07-31,1486.247314453125,1481.077
2025-08-01,1447.4412841796875,1477.7546
2025-08-04,1458.177001953125,1465.8752
2025-08-05,1438.2816162109375,1456.3186
2025-08-06,1415.037353515625,1445.1039
2025-08-07,1415.234375,1430.0791
2025-08-08,1401.6424560546875,1417.5238
2025-08-11,1406.66552734375,1405.9938
2025-08-12,1402.62744140625,1399.4011
2025-08-13,1405.0897216796875,1395.8046
2025-08-14,1425.8714599609375,1395.1635
2025-08-18,1414.1510009765625,1401.3538
2025-08-19,1418.2877197265625,1405.9952
2025-08-20,1473.6402587890625,1409.6855
2025-08-21,1473.8372802734375,1426.2391
2025-08-22,1465.0714111328125,1444.4702
2025-08-25,1508.9989013671875,1456.2987
2025-08-26,1506.53662109375,1473.5807
2025-08-28,1477.4814453125,1488.0782
2025-08-29,1447.4412841796875,1489.4602
2025-09-01,1476.7921142578125,1476.1404
2025-09-02,1476.1025390625,1467.6185
2025-09-03,1456.798095703125,1463.5256
2025-09-04,1440.94091796875,1457.5143
2025-09-05,1422.8182373046875,1448.0862
2025-09-08,1411.2947998046875,1434.8954
2025-09-09,1481.6181640625,1420.6243
2025-09-10,1509.491455078125,1428.3492
2025-09-11,1486.9366455078125,1451.6056
2025-09-12,1502.596923828125,1469.8733
2025-09-15,1485.6563720703125,1485.0317
2025-09-16,1488.5126953125,1489.923
2025-09-17,1499.4453125,1489.407
2025-09-18,1517.370849609375,1489.4447
2025-09-19,1516.976806640625,1494.6323
2025-09-22,1476.8905029296875,1500.6908
2025-09-23,1474.920654296875,1494.4746
2025-09-24,1472.0643310546875,1483.7822
2025-09-25,1462.4122314453125,1473.2136
2025-09-26,1427.053466796875,1463.0851
2025-09-29,1420.060546875,1446.5145
2025-09-30,1420.060546875,1429.8124
2025-10-01,1424.000244140625,1417.722
2025-10-03,1424.7880859375,1412.1606
2025-10-06,1453.744873046875,1411.3491
2025-10-07,1436.5086669921875,1420.4938
2025-10-08,1472.4583740234375,1427.2479
2025-10-09,1486.5428466796875,1440.4648
2025-10-10,1492.058349609375,1456.8192
2025-10-13,1470.6854248046875,1471.699
2025-10-14,1467.435302734375,1476.0713
2025-10-15,1452.1690673828125,1473.4017
2025-10-16,1449.312744140625,1464.0217
2025-10-17,1419.37109375,1453.3699
2025-10-20,1438.87255859375,1437.1172
2025-10-21,1450.19921875,1428.0295
2025-10-23,1505.4532470703125,1427.7782
2025-10-24,1502.4000244140625,1446.3807
2025-10-27,1504.5,1467.9601
2025-10-28,1500.199951171875,1485.6831
2025-10-29,1510.4000244140625,1495.5553
2025-10-30,1493.800048828125,1501.7744
2025-10-31,1482.300048828125,1499.9705
2025-11-03,1485.5,1491.7632
2025-11-04,1467.9000244140625,1483.7375
2025-11-06,1466.699951171875,1473.2489
2025-11-07,1476.800048828125,1464.2916
2025-11-10,1513.5,1461.3108
2025-11-11,1530.300048828125,1471.8981
2025-11-12,1551.699951171875,1490.4807
2025-11-13,1541.800048828125,1513.4949
2025-11-14,1502.800048828125,1529.4064
2025-11-17,1507.5999755859375,1527.0889
2025-11-18,1486.4000244140625,1518.1617
2025-11-19,1541.0999755859375,1502.4708
2025-11-20,1536.5,1503.3953
2025-11-21,1545.0,1510.462
2025-11-24,1548.0,1520.8397
2025-11-25,1530.5999755859375,1530.5865
2025-11-26,1557.9000244140625,1532.6222
2025-11-27,1566.4000244140625,1538.0287
2025-11-28,1560.0999755859375,1545.783
2025-12-01,1564.0,1550.7236
2025-12-02,1561.0,1554.0585
2025-12-03,1578.699951171875,1554.8389
2025-12-04,1597.5999755859375,1559.1571
2025-12-05,1616.199951171875,1569.1708
2025-12-08,1610.800048828125,1584.2466
2025-12-09,1599.0,1595.8899
2025-12-10,1584.800048828125,1599.2988
2025-12-11,1598.0,1593.8363
2025-12-12,1598.199951171875,1589.561
2025-12-15,1606.800048828125,1587.0516
2025-12-16,1592.9000244140625,1588.5629
2025-12-17,1602.0,1587.5491
2025-12-18,1626.800048828125,1588.3279
2025-12-19,1638.699951171875,1596.7756
2025-12-22,1689.5999755859375,1609.7346
2025-12-23,1668.300048828125,1635.7349
2025-12-24,1663.4000244140625,1654.0908
2025-12-26,1656.0999755859375,1662.3069
2025-12-29,1644.699951171875,1661.2059
2025-12-30,1621.5999755859375,1652.6571
