Date,Actual,ARIMA_Pred
2025-07-01,1268.75341796875,
2025-07-02,1262.791259765625,
2025-07-03,1283.1619873046875,
2025-07-04,1299.1605224609375,
2025-07-07,1302.240966796875,
2025-07-08,1275.7093505859375,
2025-07-09,1261.4000244140625,
2025-07-10,1262.5999755859375,
2025-07-11,1254.699951171875,
2025-07-14,1250.5999755859375,
2025-07-15,1260.9000244140625,
2025-07-16,1259.4000244140625,
2025-07-17,1263.0999755859375,
2025-07-18,1257.5,
2025-07-21,1259.300048828125,
2025-07-22,1240.0,
2025-07-23,1247.4000244140625,
2025-07-24,1265.5,
2025-07-25,1277.9000244140625,
2025-07-28,1287.4000244140625,
2025-07-29,1299.800048828125,
2025-07-30,1292.0999755859375,
2025-07-31,1270.300048828125,
2025-08-01,1220.5999755859375,
2025-08-04,1225.0,
2025-08-05,1214.800048828125,
2025-08-06,1196.699951171875,
2025-08-07,1200.800048828125,
2025-08-08,1211.4000244140625,
2025-08-11,1219.5,
2025-08-12,1220.300048828125,
2025-08-13,1253.4000244140625,
2025-08-14,1260.4000244140625,
2025-08-18,1262.699951171875,
2025-08-19,1244.199951171875,
2025-08-20,1245.4000244140625,
2025-08-21,1276.5999755859375,
2025-08-22,1277.5999755859375,
2025-08-25,1283.9000244140625,
2025-08-26,1263.199951171875,
2025-08-28,1259.800048828125,
2025-08-29,1260.0999755859375,
2025-09-01,1279.9000244140625,
2025-09-02,1253.699951171875,
2025-09-03,1262.199951171875,
2025-09-04,1253.0,
2025-09-05,1268.0999755859375,
2025-09-08,1250.5999755859375,
2025-09-09,1291.300048828125,
2025-09-10,1304.199951171875,
2025-09-11,1303.0999755859375,
2025-09-12,1316.699951171875,
2025-09-15,1300.800048828125,
2025-09-16,1310.4000244140625,
2025-09-17,1311.4000244140625,
2025-09-18,1322.699951171875,
2025-09-19,1321.699951171875,
2025-09-22,1301.4000244140625,
2025-09-23,1308.4000244140625,
2025-09-24,1298.0999755859375,
2025-09-25,1275.199951171875,
2025-09-26,1253.0999755859375,
2025-09-29,1234.5999755859375,
2025-09-30,1223.699951171875,
2025-10-01,1244.699951171875,
2025-10-03,1248.0999755859375,
2025-10-06,1248.5999755859375,
2025-10-07,1248.5,
2025-10-08,1234.5,
2025-10-09,1246.0999755859375,
2025-10-10,1264.4000244140625,
2025-10-13,1262.4000244140625,
2025-10-14,1237.300048828125,
2025-10-15,1232.4000244140625,
2025-10-16,1240.199951171875,
2025-10-17,1255.9000244140625,
2025-10-20,1282.0,
2025-10-21,1288.699951171875,
2025-10-23,1279.4000244140625,
2025-10-24,1283.5999755859375,
2025-10-27,1284.300048828125,
2025-10-28,1289.4000244140625,
2025-10-29,1250.9000244140625,
2025-10-30,1202.199951171875,
2025-10-31,1197.5999755859375,
2025-11-03,1196.0,
2025-11-04,1200.0,
2025-11-06,1205.199951171875,
2025-11-07,1205.4000244140625,
2025-11-10,1198.699951171875,
2025-11-11,1211.5,
2025-11-12,1229.5999755859375,
2025-11-13,1234.9000244140625,
2025-11-14,1246.0,
2025-11-17,1244.4000244140625,
2025-11-18,1243.800048828125,
2025-11-19,1250.199951171875,
2025-11-20,1248.5999755859375,
2025-11-21,1243.9000244140625,
2025-11-24,1226.199951171875,
2025-11-25,1236.0999755859375,
2025-11-26,1248.0,
2025-11-27,1249.300048828125,
2025-11-28,1258.800048828125,
2025-12-01,1260.0999755859375,
2025-12-02,1275.199951171875,
2025-12-03,1280.699951171875,
2025-12-04,1277.5999755859375,
2025-12-05,1275.199951171875,
2025-12-08,1266.5,
2025-12-09,1246.199951171875,
2025-12-10,1250.800048828125,
2025-12-11,1273.5,
2025-12-12,1279.300048828125,
2025-12-15,1280.5999755859375,
2025-12-16,1276.9000244140625,
2025-12-17,1272.0,
2025-12-18,1280.0,
2025-12-19,1278.199951171875,
2025-12-22,1283.4000244140625,
2025-12-23,1283.5,
2025-12-24,1265.800048828125,
2025-12-26,1269.300048828125,
2025-12-29,1268.5999755859375,
2025-12-30,1265.800048828125,
