Date,Actual,ARIMA_Pred
2025-07-01,1421.03515625,
2025-07-02,1416.867431640625,
2025-07-03,1414.98193359375,
2025-07-04,1431.7525634765625,
2025-07-07,1424.706787109375,
2025-07-08,1430.9586181640625,
2025-07-09,1420.93603515625,
2025-07-10,1413.1956787109375,
2025-07-11,1411.0125732421875,
2025-07-14,1412.1041259765625,
2025-07-15,1419.844482421875,
2025-07-16,1415.4781494140625,
2025-07-17,1407.8370361328125,
2025-07-18,1414.8826904296875,
2025-07-21,1454.576416015625,
2025-07-22,1462.316650390625,
2025-07-23,1477.2017822265625,
2025-07-24,1472.0416259765625,
2025-07-25,1465.789794921875,
2025-07-28,1477.00341796875,
2025-07-29,1474.8201904296875,
2025-07-30,1471.04931640625,
2025-07-31,1470.0570068359375,
2025-08-01,1460.3319091796875,
2025-08-04,1451.9962158203125,
2025-08-05,1433.3402099609375,
2025-08-06,1432.54638671875,
2025-08-07,1429.271728515625,
2025-08-08,1424.9053955078125,
2025-08-11,1425.5999755859375,
2025-08-12,1422.0,
2025-08-13,1420.800048828125,
2025-08-14,1427.300048828125,
2025-08-18,1434.5999755859375,
2025-08-19,1436.300048828125,
2025-08-20,1430.5999755859375,
2025-08-21,1446.0,
2025-08-22,1436.4000244140625,
2025-08-25,1433.199951171875,
2025-08-26,1416.5999755859375,
2025-08-28,1399.0999755859375,
2025-08-29,1397.800048828125,
2025-09-01,1411.0,
2025-09-02,1394.199951171875,
2025-09-03,1397.0,
2025-09-04,1405.5,
2025-09-05,1402.800048828125,
2025-09-08,1402.699951171875,
2025-09-09,1403.699951171875,
2025-09-10,1403.9000244140625,
2025-09-11,1401.5999755859375,
2025-09-12,1417.699951171875,
2025-09-15,1419.4000244140625,
2025-09-16,1421.5999755859375,
2025-09-17,1419.199951171875,
2025-09-18,1421.699951171875,
2025-09-19,1402.199951171875,
2025-09-22,1401.5,
2025-09-23,1394.300048828125,
2025-09-24,1382.699951171875,
2025-09-25,1375.800048828125,
2025-09-26,1359.5999755859375,
2025-09-29,1348.0999755859375,
2025-09-30,1348.0,
2025-10-01,1372.0,
2025-10-03,1365.199951171875,
2025-10-06,1363.4000244140625,
2025-10-07,1375.9000244140625,
2025-10-08,1370.300048828125,
2025-10-09,1376.199951171875,
2025-10-10,1380.300048828125,
2025-10-13,1379.4000244140625,
2025-10-14,1384.0999755859375,
2025-10-15,1398.4000244140625,
2025-10-16,1417.300048828125,
2025-10-17,1436.5999755859375,
2025-10-20,1390.300048828125,
2025-10-21,1382.0,
2025-10-23,1363.699951171875,
2025-10-24,1377.699951171875,
2025-10-27,1377.5999755859375,
2025-10-28,1363.0999755859375,
2025-10-29,1370.4000244140625,
2025-10-30,1362.4000244140625,
2025-10-31,1345.300048828125,
2025-11-03,1346.4000244140625,
2025-11-04,1336.9000244140625,
2025-11-06,1320.4000244140625,
2025-11-07,1343.0,
2025-11-10,1348.0,
2025-11-11,1358.300048828125,
2025-11-12,1358.9000244140625,
2025-11-13,1385.9000244140625,
2025-11-14,1373.0,
2025-11-17,1379.0,
2025-11-18,1373.4000244140625,
2025-11-19,1383.0999755859375,
2025-11-20,1383.0,
2025-11-21,1369.5,
2025-11-24,1368.4000244140625,
2025-11-25,1357.800048828125,
2025-11-26,1375.0,
2025-11-27,1392.199951171875,
2025-11-28,1388.800048828125,
2025-12-01,1390.0999755859375,
2025-12-02,1373.0,
2025-12-03,1391.5,
2025-12-04,1386.699951171875,
2025-12-05,1392.5,
2025-12-08,1389.5999755859375,
2025-12-09,1375.199951171875,
2025-12-10,1363.5999755859375,
2025-12-11,1360.0,
2025-12-12,1366.0,
2025-12-15,1365.199951171875,
2025-12-16,1366.0,
2025-12-17,1352.4000244140625,
2025-12-18,1356.800048828125,
2025-12-19,1354.0999755859375,
2025-12-22,1368.5,
2025-12-23,1363.0,
2025-12-24,1359.800048828125,
2025-12-26,1350.4000244140625,
2025-12-29,1343.300048828125,
2025-12-30,1342.5,
