Date,Actual,GRU_Pred
2025-07-01,1268.75341796875,1302.2577
2025-07-02,1262.791259765625,1288.9962
2025-07-03,1283.1619873046875,1280.7631
2025-07-04,1299.1605224609375,1286.1647
2025-07-07,1302.240966796875,1299.7283
2025-07-08,1275.7093505859375,1310.3223
2025-07-09,1261.4000244140625,1303.5162
2025-07-10,1262.5999755859375,1288.4774
2025-07-11,1254.699951171875,1279.0759
2025-07-14,1250.5999755859375,1272.654
2025-07-15,1260.9000244140625,1267.984
2025-07-16,1259.4000244140625,1270.1145
2025-07-17,1263.0999755859375,1272.5894
2025-07-18,1257.5,1275.3116
2025-07-21,1259.300048828125,1274.4426
2025-07-22,1240.0,1273.6403
2025-07-23,1247.4000244140625,1265.1091
2025-07-24,1265.5,1261.2227
2025-07-25,1277.9000244140625,1268.5321
2025-07-28,1287.4000244140625,1281.0856
2025-07-29,1299.800048828125,1293.1449
2025-07-30,1292.0999755859375,1304.6614
2025-07-31,1270.300048828125,1307.6467
2025-08-01,1220.5999755859375,1297.4971
2025-08-04,1225.0,1266.9094
2025-08-05,1214.800048828125,1246.4169
2025-08-06,1196.699951171875,1234.6217
2025-08-07,1200.800048828125,1222.4614
2025-08-08,1211.4000244140625,1216.7295
2025-08-11,1219.5,1219.8993
2025-08-12,1220.300048828125,1227.5374
2025-08-13,1253.4000244140625,1233.0902
2025-08-14,1260.4000244140625,1249.411
2025-08-18,1262.699951171875,1264.9269
2025-08-19,1244.199951171875,1273.9209
2025-08-20,1245.4000244140625,1269.0889
2025-08-21,1276.5999755859375,1263.102
2025-08-22,1277.5999755859375,1273.4531
2025-08-25,1283.9000244140625,1284.7134
2025-08-26,1263.199951171875,1293.1982
2025-08-28,1259.800048828125,1288.1283
2025-08-29,1260.0999755859375,1279.9382
2025-09-01,1279.9000244140625,1275.2544
2025-09-02,1253.699951171875,1282.3875
2025-09-03,1262.199951171875,1278.5739
2025-09-04,1253.0,1276.2034
2025-09-05,1268.0999755859375,1271.8053
2025-09-08,1250.5999755859375,1275.2094
2025-09-09,1291.300048828125,1272.0381
2025-09-10,1304.199951171875,1285.2882
2025-09-11,1303.0999755859375,1303.2732
2025-09-12,1316.699951171875,1313.5266
2025-09-15,1300.800048828125,1322.3309
2025-09-16,1310.4000244140625,1320.4058
2025-09-17,1311.4000244140625,1320.3993
2025-09-18,1322.699951171875,1321.9368
2025-09-19,1321.699951171875,1328.0458
2025-09-22,1301.4000244140625,1332.2626
2025-09-23,1308.4000244140625,1325.1765
2025-09-24,1298.0999755859375,1320.9723
2025-09-25,1275.199951171875,1315.6746
2025-09-26,1253.0999755859375,1302.5563
2025-09-29,1234.5999755859375,1283.4615
2025-09-30,1223.699951171875,1263.4602
2025-10-01,1244.699951171875,1247.6503
2025-10-03,1248.0999755859375,1249.1301
2025-10-06,1248.5999755859375,1256.3744
2025-10-07,1248.5,1261.5403
2025-10-08,1234.5,1263.3579
2025-10-09,1246.0999755859375,1257.4341
2025-10-10,1264.4000244140625,1256.9363
2025-10-13,1262.4000244140625,1266.4838
2025-10-14,1237.300048828125,1273.8119
2025-10-15,1232.4000244140625,1266.0034
2025-10-16,1240.199951171875,1255.0121
2025-10-17,1255.9000244140625,1252.0066
2025-10-20,1282.0,1259.6738
2025-10-21,1288.699951171875,1277.8948
2025-10-23,1279.4000244140625,1293.5548
2025-10-24,1283.5999755859375,1297.0242
2025-10-27,1284.300048828125,1297.167
2025-10-28,1289.4000244140625,1297.1932
2025-10-29,1250.9000244140625,1299.6158
2025-10-30,1202.199951171875,1285.2418
2025-10-31,1197.5999755859375,1250.992
2025-11-03,1196.0,1224.7302
2025-11-04,1200.0,1212.7245
2025-11-06,1205.199951171875,1211.6783
2025-11-07,1205.4000244140625,1215.8776
2025-11-10,1198.699951171875,1219.3179
2025-11-11,1211.5,1217.8392
2025-11-12,1229.5999755859375,1220.9769
2025-11-13,1234.9000244140625,1232.1094
2025-11-14,1246.0,1242.9255
2025-11-17,1244.4000244140625,1253.2671
2025-11-18,1243.800048828125,1258.2546
2025-11-19,1250.199951171875,1259.2418
2025-11-20,1248.5999755859375,1261.6062
2025-11-21,1243.9000244140625,1262.913
2025-11-24,1226.199951171875,1261.294
2025-11-25,1236.0999755859375,1251.9631
2025-11-26,1248.0,1248.8086
2025-11-27,1249.300048828125,1254.3512
2025-11-28,1258.800048828125,1260.3959
2025-12-01,1260.0999755859375,1267.5253
2025-12-02,1275.199951171875,1272.3232
2025-12-03,1280.699951171875,1280.6925
2025-12-04,1277.5999755859375,1288.8888
2025-12-05,1275.199951171875,1291.9567
2025-12-08,1266.5,1291.1073
2025-12-09,1246.199951171875,1286.0138
2025-12-10,1250.800048828125,1273.4349
2025-12-11,1273.5,1266.3945
2025-12-12,1279.300048828125,1274.1895
2025-12-15,1280.5999755859375,1285.2241
2025-12-16,1276.9000244140625,1292.1615
2025-12-17,1272.0,1292.9651
2025-12-18,1280.0,1289.6729
2025-12-19,1278.199951171875,1290.3695
2025-12-22,1283.4000244140625,1291.4233
2025-12-23,1283.5,1294.177
2025-12-24,1265.800048828125,1296.2136
2025-12-26,1269.300048828125,1289.4904
2025-12-29,1268.5999755859375,1284.6552
2025-12-30,1265.800048828125,1282.651
