,HDFCBANK.NS,ICICIBANK.NS,TCS.NS,INFY.NS,SUNPHARMA.NS,DRREDDY.NS,HINDUNILVR.NS,ITC.NS,MARUTI.NS
HDFCBANK.NS,1.0,0.5322778114229965,0.227716228637479,0.26012992197231005,0.18770957835100535,0.14741932198119453,0.1776383567646695,0.2247888226665958,0.2801037275969661
ICICIBANK.NS,0.5322778114229965,1.0,0.21707784711671513,0.2677734755865673,0.22402278413075127,0.10530606338179364,0.1400923091367349,0.2797763282385407,0.2912103063817246
TCS.NS,0.227716228637479,0.21707784711671513,1.0,0.6995857216448761,0.21566316139280328,0.23849105049074462,0.2450891937900267,0.1767531765829468,0.19839537233300036
INFY.NS,0.26012992197231005,0.2677734755865673,0.6995857216448761,1.0,0.205343679191781,0.23358211144322738,0.2166289652518538,0.18211442491468444,0.18265802428130634
SUNPHARMA.NS,0.18770957835100535,0.22402278413075127,0.21566316139280328,0.205343679191781,1.0,0.3822958759505962,0.1553336633696452,0.19442731661593798,0.18408320181887028
DRREDDY.NS,0.14741932198119453,0.10530606338179364,0.23849105049074462,0.23358211144322738,0.3822958759505962,1.0,0.15098499375299118,0.14387301544881562,0.13941515421912107
HINDUNILVR.NS,0.1776383567646695,0.1400923091367349,0.2450891937900267,0.2166289652518538,0.1553336633696452,0.15098499375299118,1.0,0.31122058666656033,0.247864808700628
ITC.NS,0.2247888226665958,0.2797763282385407,0.1767531765829468,0.18211442491468444,0.19442731661593798,0.14387301544881562,0.31122058666656033,1.0,0.2298307299385783
MARUTI.NS,0.2801037275969661,0.2912103063817246,0.19839537233300036,0.18265802428130634,0.18408320181887028,0.13941515421912107,0.247864808700628,0.2298307299385783,1.0
