Date,Close,High,Low,Open,Volume,Ticker
2021-01-01,7371.6318359375,7426.454660621891,7332.048545364582,7335.882296237975,767574,MARUTI.NS
2021-01-04,7382.17431640625,7432.87604379968,7324.955868005311,7417.34916627098,598645,MARUTI.NS
2021-01-05,7337.2724609375,7354.092856256285,7270.708772000545,7341.633165505427,562668,MARUTI.NS
2021-01-06,7311.5380859375,7426.933893852499,7241.476194993232,7335.88231043322,840678,MARUTI.NS
2021-01-07,7251.58740234375,7384.18735227476,7238.21747716674,7356.967815081635,642968,MARUTI.NS
2021-01-08,7681.7822265625,7725.007860421097,7284.126518511208,7284.126518511208,2557157,MARUTI.NS
2021-01-11,7890.578125,7943.531808933832,7554.789376810389,7762.387080182806,2182019,MARUTI.NS
2021-01-12,7847.73583984375,7982.827824598611,7801.6830942769475,7821.81028653491,1514072,MARUTI.NS
2021-01-13,7801.5390625,7907.11087961648,7773.888041765972,7847.687743309059,877225,MARUTI.NS
2021-01-14,7810.740234375,7840.020318663655,7689.97708521221,7825.451878553918,718274,MARUTI.NS
2021-01-15,7691.22314453125,7877.878891738012,7667.549545495524,7818.120205902624,751177,MARUTI.NS
2021-01-18,7505.18994140625,7690.456226140257,7423.099847535454,7678.044270962752,771183,MARUTI.NS
2021-01-19,7593.318359375,7658.204308683078,7509.359126090838,7571.657574488529,779892,MARUTI.NS
2021-01-20,7806.427734375,7830.436412803227,7533.560319918795,7554.406340968791,999226,MARUTI.NS
2021-01-21,7741.06103515625,7923.403792074377,7688.059622048483,7863.980659727865,769494,MARUTI.NS
2021-01-22,7714.32080078125,7962.6998186428145,7667.501029025339,7748.968227458733,1172914,MARUTI.NS
2021-01-25,7649.7705078125,7825.356481768154,7619.675657609228,7779.63881625184,753043,MARUTI.NS
2021-01-27,7543.76708984375,7753.760880463371,7495.461924062274,7660.744690223254,1080785,MARUTI.NS
2021-01-28,7273.1044921875,7652.693556377081,7247.705893117463,7514.151573927654,2085637,MARUTI.NS
2021-01-29,6907.125,7365.5937702394685,6871.9983516743,7365.5937702394685,3069968,MARUTI.NS
2021-02-01,7092.2470703125,7164.321772192158,6854.746396617835,6963.241730918002,1611478,MARUTI.NS
2021-02-02,7336.55322265625,7446.821292444657,7178.8420189035305,7221.732105822272,1700845,MARUTI.NS
2021-02-03,7273.775390625,7395.736584774118,7165.1363865615385,7360.8013443239715,1491567,MARUTI.NS
2021-02-04,7322.4638671875,7442.268577056405,7216.125019513001,7284.12636002945,1198036,MARUTI.NS
2021-02-05,7182.67626953125,7414.474536160009,7150.904151278416,7360.802021420484,1128089,MARUTI.NS
2021-02-08,7259.7822265625,7320.547082563727,7163.842520112931,7202.659246591569,912372,MARUTI.NS
2021-02-09,7310.05224609375,7360.801710708149,7259.2073120968125,7265.916376156051,925127,MARUTI.NS
2021-02-10,7304.92529296875,7355.913901220504,7194.08159117399,7289.111069862977,1015600,MARUTI.NS
2021-02-11,7348.677734375,7422.1418938983425,7253.121304047165,7284.126858681224,818869,MARUTI.NS
2021-02-12,7253.935546875,7356.009159313685,7213.106008302097,7303.391024527229,756833,MARUTI.NS
2021-02-15,7280.916015625,7331.186262639492,7264.958120738229,7284.126875674214,470093,MARUTI.NS
2021-02-16,7377.142578125,7474.85548706707,7308.326939704856,7321.505457841434,1321126,MARUTI.NS
