Date,Close,High,Low,Open,Volume,Ticker
2021-01-01,2195.60400390625,2210.7314684277826,2190.500148833185,2202.822771871949,830096,HINDUNILVR.NS
2021-01-04,2231.4228515625,2234.6414709651244,2207.6969836348235,2211.651332374948,1614486,HINDUNILVR.NS
2021-01-05,2253.538818359375,2259.424202488643,2211.650751938764,2211.650751938764,2356303,HINDUNILVR.NS
2021-01-06,2222.96240234375,2253.033457051581,2208.524641011378,2249.171158884962,1641627,HINDUNILVR.NS
2021-01-07,2178.4072265625,2237.1238935440924,2174.866656154248,2236.48021470069,2403881,HINDUNILVR.NS
2021-01-08,2198.96044921875,2207.053021868209,2171.0045340803035,2197.8569676104244,2797948,HINDUNILVR.NS
2021-01-11,2233.813720703125,2245.630516198677,2208.984373194071,2230.0432484983808,2787672,HINDUNILVR.NS
2021-01-12,2184.889892578125,2237.491489332471,2181.3035221235045,2234.456747286953,2036708,HINDUNILVR.NS
2021-01-13,2181.6259765625,2205.2137654410053,2174.499034660012,2190.4080285867485,1702740,HINDUNILVR.NS
2021-01-14,2205.7197265625,2212.570742354212,2162.1302929404587,2175.786523861207,2120413,HINDUNILVR.NS
2021-01-15,2162.1298828125,2213.4899279462447,2154.451313366442,2200.15565127187,2042957,HINDUNILVR.NS
2021-01-18,2145.07177734375,2183.60315616061,2134.0823125296374,2183.60315616061,1733797,HINDUNILVR.NS
2021-01-19,2173.16552734375,2190.5922302155027,2136.473359728051,2153.715961899535,1495269,HINDUNILVR.NS
2021-01-20,2166.544189453125,2183.0970858297046,2157.67008758978,2167.509819977697,1380562,HINDUNILVR.NS
2021-01-21,2177.3037109375,2206.960986114977,2161.0727648703937,2184.982506098747,1521133,HINDUNILVR.NS
2021-01-22,2215.651611328125,2227.2845311509177,2167.5101733784945,2169.3493843868764,2548089,HINDUNILVR.NS
2021-01-25,2206.684814453125,2236.801885936797,2193.2584882002434,2225.4446714652363,2124424,HINDUNILVR.NS
2021-01-27,2199.05224609375,2230.04290046775,2147.2784216875034,2230.04290046775,2460297,HINDUNILVR.NS
2021-01-28,2115.460205078125,2217.6744815770653,2105.8963985754003,2177.533570538317,3867335,HINDUNILVR.NS
2021-01-29,2081.89453125,2135.599620182664,2070.031711645958,2128.9785063452205,4472694,HINDUNILVR.NS
2021-02-01,2067.824951171875,2101.2985004993343,2047.225653920854,2093.619705013951,2717591,HINDUNILVR.NS
2021-02-02,2051.133544921875,2092.10200490963,2027.7296355277952,2088.469608968542,4215607,HINDUNILVR.NS
2021-02-03,2053.3408203125,2075.5491988960125,2039.3168392388784,2052.0992633302844,2353429,HINDUNILVR.NS
2021-02-04,2065.06640625,2077.389031371895,2047.2259230655604,2058.99691954036,2908003,HINDUNILVR.NS
2021-02-05,2087.09033203125,2101.298189548129,2060.8355548259765,2065.0658291703194,4036942,HINDUNILVR.NS
2021-02-08,2056.83544921875,2104.700958009853,2050.9960892927293,2104.057279094558,2780672,HINDUNILVR.NS
2021-02-09,2038.0758056640625,2073.434594253961,2032.7880737373537,2066.353676402549,3131481,HINDUNILVR.NS
2021-02-10,2055.778076171875,2060.835906374937,2034.8570512410272,2041.5241910541545,2055520,HINDUNILVR.NS
2021-02-11,2081.06689453125,2085.6649212535904,2054.444364711504,2061.755182297421,1824480,HINDUNILVR.NS
2021-02-12,2061.341552734375,2089.5733939330967,2052.559276161809,2085.6650709386126,1222094,HINDUNILVR.NS
2021-02-15,2037.1099853515625,2079.917664737891,2035.086898227016,2070.0319059688263,2449407,HINDUNILVR.NS
2021-02-16,2019.545654296875,2049.8466095081026,2013.9819963232865,2047.9613733996232,2396356,HINDUNILVR.NS
2021-02-17,1989.934326171875,2024.5576092514243,1986.3479543927824,2019.4537536326625,2447956,HINDUNILVR.NS
2021-02-18,1974.2547607421875,1994.2101511794228,1970.898066633898,1990.02590209266,3205806,HINDUNILVR.NS
2021-02-19,2005.751708984375,2017.6145305025216,1977.1518872289976,1979.8186534577071,3364030,HINDUNILVR.NS
2021-02-22,1993.3363037109373,2027.7294480818248,1987.8186725596945,2027.7294480818248,2678023,HINDUNILVR.NS
2021-02-23,2004.050048828125,2016.0969692583928,1995.7275751349275,2009.3377798276715,2062144,HINDUNILVR.NS
2021-02-24,2003.68212890625,2012.556230384209,1982.255280180045,2012.556230384209,924143,HINDUNILVR.NS
2021-02-25,1989.38232421875,2009.3377156685503,1986.347581622,2001.9808727736545,2099460,HINDUNILVR.NS
2021-02-26,1960.644775390625,2006.9467734564555,1949.563485206536,1984.5084910734456,3413194,HINDUNILVR.NS
2021-03-01,1971.082275390625,1980.8301831817923,1956.9204409521144,1963.5415554361837,1229276,HINDUNILVR.NS
2021-03-02,2002.85498046875,2008.3265889103136,1968.461820681988,1988.1873159865447,2095135,HINDUNILVR.NS
2021-03-03,2017.1546630859373,2027.7301263298343,1998.762553096551,2027.7301263298343,2031893,HINDUNILVR.NS
2021-03-04,2020.2808837890625,2026.3503688447252,1999.2220112858784,2009.337670036635,2290915,HINDUNILVR.NS
2021-03-05,2024.1434326171875,2032.2818052847235,2000.371544433126,2008.969944290261,2129837,HINDUNILVR.NS
2021-03-08,1999.7279052734373,2037.937553357579,1994.6240505595797,2032.3278707868467,1440724,HINDUNILVR.NS
2021-03-09,2021.7523193359373,2027.7297539848728,1988.2327499379755,2001.0611993973164,1711842,HINDUNILVR.NS
2021-03-10,2048.742919921875,2057.0651689366077,2016.8784590414944,2032.787676896058,2696085,HINDUNILVR.NS
2021-03-12,2027.499755859375,2059.8237918817968,2023.1316307475336,2056.237421068857,2038930,HINDUNILVR.NS
2021-03-15,2033.1099853515625,2039.1792471702176,2007.7748079784956,2028.7418590635532,1632022,HINDUNILVR.NS
2021-03-16,2063.640625,2066.813218853807,2036.2823632598884,2042.7656264908264,2633605,HINDUNILVR.NS
2021-03-17,2047.3179931640625,2080.147868197183,2040.8347287783367,2072.7910233936564,3703365,HINDUNILVR.NS
2021-03-18,2037.1099853515625,2069.020250150026,2027.7300544918976,2058.07703489926,2597091,HINDUNILVR.NS
2021-03-19,2126.173828125,2138.312575176948,2015.315346091939,2026.902464581055,5382214,HINDUNILVR.NS
2021-03-22,2164.014892578125,2167.0496346138543,2116.931151657582,2124.380043516828,2471516,HINDUNILVR.NS
2021-03-23,2149.3935546875,2182.1773944693514,2145.8069592394504,2173.027366457755,1970612,HINDUNILVR.NS
2021-03-24,2132.197509765625,2161.9005893049643,2129.3926679463884,2149.394088581314,1762743,HINDUNILVR.NS
2021-03-25,2057.203369140625,2135.32380540474,2051.68573656852,2132.1972367524318,2495833,HINDUNILVR.NS
2021-03-26,2131.55322265625,2138.0825106660777,2068.0086255416927,2073.7101340008626,1929236,HINDUNILVR.NS
2021-03-30,2205.903564453125,2212.570703939226,2138.0826627841648,2138.0826627841648,3327203,HINDUNILVR.NS
2021-03-31,2236.0205078125,2242.5497958926344,2190.1780892742186,2194.17846252956,2709756,HINDUNILVR.NS
2021-04-01,2206.22509765625,2250.09022422399,2199.741835586649,2250.09022422399,1532653,HINDUNILVR.NS
2021-04-05,2182.40771484375,2222.8703566054387,2157.854293040973,2207.0531870012087,2545447,HINDUNILVR.NS
2021-04-06,2214.68603515625,2217.168925176065,2186.2242890036173,2190.7762914587893,3683538,HINDUNILVR.NS
2021-04-07,2211.880859375,2239.2391196666144,2195.420012735847,2222.686222683453,1713970,HINDUNILVR.NS
2021-04-08,2216.1572265625,2242.917836682386,2203.0070473928945,2212.5708548822554,1814515,HINDUNILVR.NS
2021-04-09,2276.94287109375,2283.380108612997,2229.1233923793416,2229.1233923793416,2604858,HINDUNILVR.NS
2021-04-12,2264.068603515625,2288.208246424758,2241.6303204834026,2245.216691910397,2261945,HINDUNILVR.NS
2021-04-13,2257.07958984375,2304.4392718442077,2251.929933887456,2271.42552507047,1811781,HINDUNILVR.NS
2021-04-15,2262.8271484375,2296.2548976457765,2226.456931090842,2296.2548976457765,3352379,HINDUNILVR.NS
2021-04-16,2261.2177734375,2279.655907793938,2243.8373200667934,2271.333433486981,1225517,HINDUNILVR.NS
2021-04-19,2240.7568359375,2261.953789357289,2219.973884637187,2243.837604420933,1746316,HINDUNILVR.NS
2021-04-20,2204.7080078125,2258.5509509972294,2192.155483415311,2258.5509509972294,1589508,HINDUNILVR.NS
2021-04-22,2160.521484375,2197.857564608316,2144.520435425353,2197.857564608316,1721265,HINDUNILVR.NS
2021-04-23,2122.2197265625,2161.073061389611,2115.0927834877043,2151.8770058092296,1949756,HINDUNILVR.NS
2021-04-26,2170.86669921875,2179.2812245052746,2125.208374572432,2137.163246432857,1946867,HINDUNILVR.NS
2021-04-27,2188.5224609375,2194.5917203719773,2163.784947074109,2173.027023966066,1668456,HINDUNILVR.NS
2021-04-28,2213.07666015625,2248.435446716313,2176.062538794152,2188.661089237148,1951215,HINDUNILVR.NS
2021-04-29,2214.041748046875,2252.0672914285765,2192.476824755722,2237.3996322071725,3151150,HINDUNILVR.NS
2021-04-30,2164.521484375,2246.504226362458,2142.910754738117,2216.249294676049,4010778,HINDUNILVR.NS
2021-05-03,2214.40966796875,2220.846905375636,2151.8765045875725,2154.635320619095,1692239,HINDUNILVR.NS
2021-05-04,2214.088134765625,2223.7900178794494,2181.488164067533,2215.5135682205964,1453111,HINDUNILVR.NS
2021-05-05,2202.133056640625,2238.3196201737965,2178.2233154226637,2238.3196201737965,1256857,HINDUNILVR.NS
2021-05-06,2197.856689453125,2222.2722553201547,2185.9478455990675,2207.052742547071,1377740,HINDUNILVR.NS
2021-05-07,2217.35302734375,2229.124024189282,2204.432523472543,2215.1460636596903,1169518,HINDUNILVR.NS
2021-05-10,2237.30859375,2250.229098599167,2221.7673473917826,2228.204587222802,988495,HINDUNILVR.NS
2021-05-11,2208.984375,2230.9628557855767,2201.765382301985,2230.0432503215266,1019077,HINDUNILVR.NS
2021-05-12,2141.71484375,2196.937190146235,2138.1284726755243,2196.937190146235,2053932,HINDUNILVR.NS
2021-05-14,2185.7646484375,2190.868279879648,2139.002614123168,2141.669380543625,1388970,HINDUNILVR.NS
2021-05-17,2185.212646484375,2202.455250217813,2176.246492542987,2193.2591948933127,811243,HINDUNILVR.NS
2021-05-18,2183.373046875,2214.731679756315,2176.659882780149,2208.9841462013105,1153722,HINDUNILVR.NS
2021-05-19,2170.038818359375,2188.660827500927,2155.555033471501,2170.2687197068017,1323590,HINDUNILVR.NS
2021-05-20,2155.69287109375,2172.107917003328,2151.8765985553714,2170.268706235332,856235,HINDUNILVR.NS
2021-05-21,2172.337646484375,2175.924017393017,2151.8764283092128,2151.8764283092128,771492,HINDUNILVR.NS
2021-05-24,2148.704345703125,2170.223025296683,2138.312758313064,2165.6710228264765,1194864,HINDUNILVR.NS
2021-05-25,2155.601318359375,2179.281159997357,2150.0376601787125,2165.670953687283,1098457,HINDUNILVR.NS
2021-05-26,2164.75146484375,2179.6490298521244,2156.704916280716,2166.360774556357,811095,HINDUNILVR.NS
2021-05-27,2139.369873046875,2163.831466038069,2136.1512542066143,2163.831466038069,3755182,HINDUNILVR.NS
2021-05-28,2135.048095703125,2161.072976880512,2132.8871574340847,2145.76163474316,1215325,HINDUNILVR.NS
2021-05-31,2151.9228515625,2156.474853792628,2133.622567775573,2138.0827441653987,1178704,HINDUNILVR.NS
2021-06-01,2168.70556640625,2173.0276670962567,2143.2325404757803,2158.3139799724563,1141451,HINDUNILVR.NS
2021-06-02,2169.165283203125,2182.821288816127,2161.072710702991,2166.59034315585,1113091,HINDUNILVR.NS
2021-06-03,2173.2578125,2180.430780680939,2156.475011239818,2178.545544403893,868532,HINDUNILVR.NS
2021-06-04,2153.761962890625,2179.46489000303,2146.313069030966,2179.46489000303,1283795,HINDUNILVR.NS
2021-06-07,2151.23291015625,2164.7510643385103,2143.600140600284,2164.7510643385103,1128300,HINDUNILVR.NS
2021-06-08,2169.348876953125,2172.107692820382,2147.416201003228,2151.232697660739,1106664,HINDUNILVR.NS
2021-06-09,2166.5908203125,2181.2584849107247,2157.02701175982,2172.1084539805283,1072858,HINDUNILVR.NS
2021-06-10,2187.557373046875,2207.0069374749924,2165.9006209482877,2173.94716820794,1944339,HINDUNILVR.NS
2021-06-11,2176.24609375,2196.523436927352,2170.2686588844285,2189.580371527044,1128097,HINDUNILVR.NS
2021-06-14,2190.23291015625,2199.9586331566998,2164.2976488217178,2184.489921379292,1761632,HINDUNILVR.NS
2021-06-15,2215.565673828125,2218.3908096482883,2185.97173727347,2185.97173727347,1215463,HINDUNILVR.NS
2021-06-16,2230.339599609375,2240.482319497836,2207.8778123739994,2209.1283528400472,2153668,HINDUNILVR.NS
2021-06-17,2239.417236328125,2247.0125179437964,2210.425272784576,2221.169971944579,1555777,HINDUNILVR.NS
2021-06-18,2299.80859375,2312.591014361936,2227.6531014189045,2241.5469877063406,3937751,HINDUNILVR.NS
2021-06-21,2328.939697265625,2342.50930285127,2285.081237696356,2291.518693320903,2506277,HINDUNILVR.NS
2021-06-22,2306.616943359375,2347.0944246552385,2298.6510238860487,2332.413352205121,1945883,HINDUNILVR.NS
2021-06-23,2297.58642578125,2328.616115466262,2276.930796076852,2311.017186988195,1035668,HINDUNILVR.NS
2021-06-24,2306.5244140625,2320.094247952419,2291.658133796476,2306.3855656280107,759681,HINDUNILVR.NS
2021-06-25,2268.084716796875,2306.339270647295,2264.703960848163,2304.533110261853,1112942,HINDUNILVR.NS
2021-06-28,2278.783203125,2283.2292932236933,2257.571954507064,2269.4281193910674,694906,HINDUNILVR.NS
2021-06-29,2308.747802734375,2313.3327413184898,2264.704125134617,2273.9667186934503,1354397,HINDUNILVR.NS
2021-06-30,2289.064453125,2320.2793435775648,2281.376456379857,2308.7474615286023,1447245,HINDUNILVR.NS
2021-07-01,2295.270751953125,2300.828308253253,2281.3768612028034,2300.828308253253,735043,HINDUNILVR.NS
2021-07-02,2303.884765625,2308.886475310765,2271.1877676254007,2295.270509043941,860231,HINDUNILVR.NS
2021-07-05,2314.7685546875,2328.0602411416858,2301.80092333461,2314.7221964908736,761700,HINDUNILVR.NS
2021-07-06,2290.176025390625,2313.749278382006,2286.9341179734897,2306.385562476302,461782,HINDUNILVR.NS
2021-07-07,2298.6513671875,2307.126775707618,2265.491464208337,2276.7454245704653,623145,HINDUNILVR.NS
2021-07-08,2267.06640625,2287.6293212131677,2258.637354635731,2280.6360170018866,1114426,HINDUNILVR.NS
2021-07-09,2270.6787109375,2282.766442133706,2258.6373379418665,2260.0730853342434,538094,HINDUNILVR.NS
2021-07-12,2263.91650390625,2278.5050874061126,2250.810025693126,2272.113988899275,543898,HINDUNILVR.NS
2021-07-13,2257.01611328125,2274.4761924865784,2250.810220862757,2273.966704616489,994396,HINDUNILVR.NS
2021-07-14,2236.77734375,2261.323215010044,2231.3586364319244,2259.88746787865,1377829,HINDUNILVR.NS
2021-07-15,2234.461669921875,2246.178759386968,2223.9485366136537,2246.178759386968,693792,HINDUNILVR.NS
